Molecule                    E_HF (Eh)          E_CCSD (Eh)    E_AFQMC (Eh) E_AFQMC ERR (Eh)
al                    -241.8790456268      -241.9300602170      -241.93180         0.00002
b                      -24.5320678037       -24.5967859881       -24.59870         0.00002
c                      -37.6915691727       -37.7787254385       -37.78120         0.00002
cl                    -459.4854339164      -459.6662814360      -459.67241         0.00004
f                      -99.4055248597       -99.6167706719       -99.62055         0.00003
h                       -0.4998098113        -0.4998098113        -0.49981         0.00000
n                      -54.4006862065       -54.5124318709       -54.51503         0.00001
o                      -74.8117566195       -74.9710503477       -74.97419         0.00002
p                     -340.7163058835      -340.8172372324      -340.82172         0.00002
s                     -397.5092689277      -397.6487411239      -397.65406         0.00004
si                    -288.8564275032      -288.9306761631      -288.93377         0.00002
