Molecule                    E_HF (Eh)          E_CCSD (Eh)    E_AFQMC (Eh) E_AFQMC ERR (Eh)
h2co                  -113.9112649603      -114.3143982471      -114.33122         0.00026
h2o                    -76.0565307679       -76.3208857221       -76.32882         0.00010
h2s                   -398.7126905907      -398.9232647328      -398.93184         0.00007
hccf                  -175.7121850051      -176.2688863638      -176.29358         0.00030
hcl                   -460.1065778313      -460.3271520156      -460.33545         0.00005
hclo4                 -759.2844734515      -760.4534260398      -760.51083         0.00070
hcn                    -92.9073342056       -93.2559562030       -93.27432         0.00027
hcno                  -167.6921897800      -168.2865015956      -168.32000         0.00055
n-butane              -157.3544285806      -158.1114949752      -158.14083         0.00018
n-pentane             -196.4019362195      -197.3407668574      -197.37825         0.00020
n2                    -108.9829438288      -109.3553255999      -109.37411         0.00028
n2h4                  -111.2231460479      -111.6754975723      -111.69225         0.00013
n2o                   -183.7488362400      -184.3716410625      -184.40631         0.00078
propyne               -115.9073080637      -116.4064879088      -116.43084         0.00030
pyrrole               -208.8831152342      -209.7415872723      -209.78693         0.00031
s2o                   -869.9423421921      -870.5322437023      -870.57308         0.00031
s3                   -1192.6255131007     -1193.1515404917     -1193.19520         0.00022
s4-c2v               -1590.1730289501     -1590.8844437610     -1590.94242         0.00032
sf6                   -994.3005292500      -996.0200812800      -996.07737         0.00043
si2h6                 -581.3702496272      -581.6755688344      -581.68621         0.00008
sif4                  -687.1479440183      -688.2552237707      -688.28766         0.00029
sih3f                 -390.2249301045      -390.6252856769      -390.63654         0.00015
sih4                  -291.2601576753      -291.4268773363      -291.43137         0.00003
silole                -443.9276454029      -444.7057055014      -444.75055         0.00036
sio                   -363.8383877948      -364.1770540392      -364.19444         0.00048
so2                   -547.2870604281      -547.9366828112      -547.97134         0.00047
so3                   -622.1437804906      -623.0197313563      -623.06354         0.00048
t-butadiene           -154.9798910949      -155.6534068299      -155.68926         0.00026
t-hcoh                -113.8369224591      -114.2322010898      -114.24927         0.00021
t-hono                -204.7212318360      -205.3989838070      -205.43248         0.00040
t-n2h2                -110.0395680940      -110.4550141154      -110.47494         0.00024
tetrahedrane          -153.6513941325      -154.3075694731      -154.34129         0.00027
thiophene             -551.3789339264      -552.2091862549      -552.25791         0.00030
trans-c2f2cl2        -1193.6900649178     -1194.8996654434     -1194.95381         0.00053
