Molecule         Charge     2S frozen            E_HF (Eh)          E_CCSD (Eh)       E_CCSD(T) (Eh)    E_AFQMC (Eh) E_AFQMC ERR (Eh) 
allyl                 0      1      3      -116.4617933742      -116.8484440703      -116.8603367478     -116.86239         0.00014 
b2                    0      2      2       -49.1434092113       -49.2576153770       -49.2656665614      -49.27189         0.00021 
bn3pi                 0      2      2       -78.9960224352       -79.1962853836       -79.2050413452      -79.20512         0.00030 
c-hooo                0      1      3      -224.9426175645      -225.5030705286      -225.5214396426     -225.52591         0.00041 
cch                   0      1      2       -76.1534288066       -76.3803935986       -76.3900103552      -76.39122         0.00021 
cf                    0      1      2      -137.1800543439      -137.4678984645      -137.4749817546     -137.47576         0.00020 
ch                    0      1      1       -38.2725850051       -38.3672492005       -38.3688552864      -38.36948         0.00004 
ch2-trip              0      2      1       -38.9196772710       -39.0200135438       -39.0212572679      -39.02165         0.00002 
ch2ch                 0      1      2       -77.3877297189       -77.6362827755       -77.6441638913      -77.64544         0.00011 
ch2nh2                0      1      2       -94.5797915715       -94.8788042740       -94.8850514267      -94.88602         0.00012 
ch3                   0      1      1       -39.5532426859       -39.6826946936       -39.6844571642      -39.68490         0.00003 
ch3nh                 0      1      2       -94.5863373347       -94.8762604892       -94.8822150483      -94.88331         0.00008 
clo                   0      1      6      -534.2557602772      -534.5654601474      -534.5729247236     -534.57387         0.00011 
clo3                  0      1      8      -683.6742990014      -684.3885816412      -684.4160044033     -684.41745         0.00040 
cloo                  0      1      7      -609.0640824321      -609.5589732457      -609.5749075406     -609.58398         0.00033 
cn                    0      1      2       -92.2128915310       -92.4766805251       -92.4890729401      -92.49107         0.00039 
cyclopropyl           0      1      3      -116.4073953087      -116.8024108525      -116.8138583059     -116.81505         0.00010 
fo2                   0      1      3      -248.9558160857      -249.4916101301      -249.5103566857     -249.51995         0.00047 
h2ccn                 0      1      3      -131.3106943761      -131.7056814004      -131.7205367964     -131.72224         0.00026 
h2cn                  0      1      2       -93.4338156910       -93.7045998470       -93.7131571145      -93.71480         0.00013 
h2no                  0      1      2      -130.3919956208      -130.7324495700      -130.7397255351     -130.74050         0.00011 
hcnh                  0      1      2       -93.4000896488       -93.6843776668       -93.6941925495      -93.69497         0.00030 
hco                   0      1      2      -113.2552179792      -113.5557545666      -113.5659003570     -113.56627         0.00030 
hoo                   0      1      2      -150.1765095578      -150.5330381032      -150.5410098643     -150.54205         0.00018 
hs                    0      1      5      -398.0839634106      -398.2090679003      -398.2108867046     -398.21136         0.00002 
n2h                   0      1      2      -109.4320528991      -109.7398962004      -109.7503266110     -109.75124         0.00016 
nh                    0      2      1       -54.9610395044       -55.0779212046       -55.0790658256      -55.07945         0.00002 
nh2                   0      1      1       -55.5547214139       -55.7046159053       -55.7063525295      -55.70682         0.00004 
no                    0      1      2      -129.2601321608      -129.5869060876      -129.5980134285     -129.59824         0.00024 
no2                   0      1      3      -204.0478297227      -204.5801742519      -204.6037063439     -204.60367         0.00038 
o2                    0      2      2      -149.6277044870      -149.9760198794      -149.9857369885     -149.98590         0.00019 
oclo                  0      1      7      -608.9589094932      -609.4853253347      -609.5048666662     -609.50680         0.00042 
of                    0      1      2      -174.1346117575      -174.4899524533      -174.4980045315     -174.49881         0.00027 
oh                    0      1      1       -75.3825136572       -75.5400694086       -75.5412616243      -75.54164         0.00003 
s2                    0      2     10      -795.0606808053      -795.3206973797      -795.3303758755     -795.33090         0.00014 
sif                   0      1      6      -388.3587178029      -388.6222618703      -388.6274530520     -388.62791         0.00014 
sih                   0      1      5      -289.4273478313      -289.5071430064      -289.5086855597     -289.50917         0.00004 
so                    0      2      6      -472.3481065022      -472.6521143664      -472.6616998377     -472.66205         0.00018 
ssh                   0      1     10      -795.6283523531      -795.8959713252      -795.9037320702     -795.90513         0.00012 
t-hooo                0      1      3      -224.9500349406      -225.5006689458      -225.5197567573     -225.52609         0.00037 
