Molecule                    E_HF (Eh)          E_CCSD (Eh)    E_AFQMC (Eh) E_AFQMC ERR (Eh)
allyl                 -116.5109589910      -117.0044623979      -117.02727         0.00014
b2                     -49.1504333204       -49.2806777116       -49.29667         0.00019
bn3pi                  -79.0141486904       -79.2539857383       -79.26734         0.00023
c-hooo                -225.0269516335      -225.7341776325      -225.77048         0.00040
cch                    -76.1772147820       -76.4513360934       -76.46701         0.00022
cf                    -137.2248308932      -137.5915358177      -137.60476         0.00017
ch                     -38.2846902159       -38.4052055233       -38.40940         0.00004
ch2-trip               -38.9375167082       -39.0719221308       -39.07572         0.00003
ch2ch                  -77.4197992188       -77.7345240449       -77.74924         0.00010
ch2nh2                 -94.6299800448       -95.0182126903       -95.03266         0.00013
ch3                    -39.5772100967       -39.7523241717       -39.75746         0.00004
ch3nh                  -94.6302753408       -95.0096843428       -95.02344         0.00011
clo                   -534.3032968676      -534.7171531503      -534.73558         0.00017
clo3                  -683.8330765219      -684.7482091809      -684.79637         0.00045
cloo                  -609.1259851915      -609.7655832095      -609.80490         0.00031
cn                     -92.2346840970       -92.5472235330       -92.56720         0.00042
cyclopropyl           -116.4562075227      -116.9588296853      -116.98079         0.00016
fo2                   -249.0342008925      -249.7226416622      -249.76453         0.00034
h2ccn                 -131.3516435635      -131.8373945440      -131.86290         0.00025
h2cn                   -93.4658849021       -93.8053629492       -93.82155         0.00016
h2no                  -130.4474615168      -130.8849043342      -130.90182         0.00018
hcnh                   -93.4364950313       -93.7895931349       -93.80677         0.00023
hco                   -113.2921461577      -113.6657091757      -113.68263         0.00025
hoo                   -150.2363394134      -150.6938250966      -150.71166         0.00022
hs                    -398.1048842095      -398.2788490725      -398.28571         0.00004
n2h                   -109.4675797606      -109.8463657584      -109.86527         0.00022
nh                     -54.9809965399       -55.1353140103       -55.13949         0.00003
nh2                    -55.5855101495       -55.7847255517       -55.79075         0.00005
no                    -129.2963526789      -129.6983523242      -129.71678         0.00026
no2                   -204.1095098631      -204.7642115300      -204.79826         0.00035
o2                    -149.6751165755      -150.1111909795      -150.12819         0.00020
oclo                  -609.0650467104      -609.7444786491      -609.77995         0.00035
of                    -174.1923151563      -174.6539266085      -174.67081         0.00034
oh                     -75.4189523934       -75.6308657114       -75.63626         0.00005
s2                    -795.0964372682      -795.4358969796      -795.45600         0.00016
sif                   -388.4150542794      -388.7553168652      -388.76712         0.00020
sih                   -289.4388771361      -289.5418899923      -289.54547         0.00003
so                    -472.4028208578      -472.7910872071      -472.81014         0.00023
ssh                   -795.6691960940      -796.0292195880      -796.04858         0.00013
t-hooo                -225.0331803265      -225.7306398222      -225.77044         0.00037
