Molecule         Charge     2S frozen           E_RHF (Eh)          E_CCSD (Eh)       E_CCSD(T) (Eh)
----------------------------------------------------------------------------------------------------
allyl                 0      1      3      -116.4373338717      -116.8474624642      -116.8608070370
b2                    0      2      2       -49.0827919035       -49.2563160721       -49.2704600263
bn3pi                 0      2    N/A          UNCONVERGED          UNCONVERGED          UNCONVERGED
c-hooo                0      1      3      -224.9310013768      -225.5033491292      -225.5223546314
cch                   0      1      2       -76.1369885042       -76.3804126701       -76.3909195578
cf                    0      1    N/A          UNCONVERGED          UNCONVERGED          UNCONVERGED
ch                    0      1      1       -38.2657481532       -38.3674865879       -38.3691165053
ch2-trip              0      2      1       -38.9143894385       -39.0199326477       -39.0212131597
ch2ch                 0      1      2       -77.3794028460       -77.6364015648       -77.6446056744
ch2nh2                0      1      2       -94.5754778139       -94.8787099956       -94.8850692402
ch3                   0      1      1       -39.5489612921       -39.6826449484       -39.6844432418
ch3nh                 0      1      2       -94.5815223373       -94.8761854168       -94.8822027399
clo                   0      1    N/A          UNCONVERGED          UNCONVERGED          UNCONVERGED
clo3                  0      1      8      -683.6628219541      -684.3877839518      -684.4161200770
cloo                  0      1      7      -609.0083940062      -609.5546702806      -609.5790792522
cn                    0      1      2       -92.1960746941       -92.4767469718       -92.4906628952
cyclopropyl           0      1      3      -116.4041054702      -116.8023620186      -116.8138479154
fo2                   0      1      3      -248.8946146424      -249.4905644249      -249.5157715211
h2ccn                 0      1      3      -131.2955191203      -131.7049834271      -131.7208737977
h2cn                  0      1      2       -93.4234796694       -93.7045683024       -93.7135891872
h2no                  0      1      2      -130.3849604013      -130.7321630286      -130.7397165025
hcnh                  0      1      2       -93.3947910649       -93.6842235463       -93.6945110947
hco                   0      1      2      -113.2501336332      -113.5555381711      -113.5659911583
hoo                   0      1      2      -150.1709212957      -150.5328893846      -150.5410445268
hs                    0      1    N/A          UNCONVERGED          UNCONVERGED          UNCONVERGED
n2h                   0      1      2      -109.4232471877      -109.7396749382      -109.7507508977
nh                    0      2      1       -54.9539057399       -55.0777896765       -55.0789872401
nh2                   0      1      1       -55.5503608244       -55.7045582762       -55.7063302596
no                    0      1    N/A          UNCONVERGED          UNCONVERGED          UNCONVERGED
no2                   0      1      3      -204.0390719762      -204.5797397928      -204.6042673940
o2                    0      2      2      -149.6080258329      -149.9748164778      -149.9856885900
oclo                  0      1      7      -608.9479935400      -609.4849800991      -609.5056623998
of                    0      1    N/A          UNCONVERGED          UNCONVERGED          UNCONVERGED
oh                    0      1    N/A          UNCONVERGED          UNCONVERGED          UNCONVERGED
s2                    0      2     10      -795.0497268161      -795.3200452548      -795.3304440801
sif                   0      1    N/A          UNCONVERGED          UNCONVERGED          UNCONVERGED
sih                   0      1    N/A          UNCONVERGED          UNCONVERGED          UNCONVERGED
so                    0      2      6      -472.3330565224      -472.6512344893      -472.6618693609
ssh                   0      1     10      -795.6234872040      -795.8958194653      -795.9037353666
t-hooo                0      1      3      -224.9251221237      -225.5015948742      -225.5221803767
