Molecule         Charge     2S frozen            E_HF (Eh)          E_CCSD (Eh)       E_CCSD(T) (Eh)
----------------------------------------------------------------------------------------------------
allyl                 0      1      3      -116.4617933742      -116.8484440703      -116.8603367478
b2                    0      2      2       -49.0856262056       -49.2564575705       -49.2704558799
bn3pi                 0      2    N/A          UNCONVERGED          UNCONVERGED          UNCONVERGED
c-hooo                0      1      3      -224.9426175645      -225.5030705286      -225.5214396426
cch                   0      1      2       -76.1534288064       -76.3803935673       -76.3900102159
cf                    0      1    N/A          UNCONVERGED          UNCONVERGED          UNCONVERGED
ch                    0      1      1       -38.2675227489       -38.3675189195       -38.3691306876
ch2-trip              0      2      1       -38.9196772710       -39.0200135438       -39.0212572679
ch2ch                 0      1      2       -77.3877297189       -77.6362827755       -77.6441638913
ch2nh2                0      1      2       -94.5797915715       -94.8788042740       -94.8850514267
ch3                   0      1      1       -39.5532426859       -39.6826946936       -39.6844571642
ch3nh                 0      1      2       -94.5863373347       -94.8762604892       -94.8822150483
clo                   0      1    N/A          UNCONVERGED          UNCONVERGED          UNCONVERGED
clo3                  0      1      8      -683.6742990014      -684.3885816410      -684.4160044034
cloo                  0      1      7      -609.0640824321      -609.5589732457      -609.5749075406
cn                    0      1      2       -92.2128915310       -92.4766804874       -92.4890729259
cyclopropyl           0      1      3      -116.4073953087      -116.8024108525      -116.8138583059
fo2                   0      1      3      -248.9558160857      -249.4916101301      -249.5103566857
h2ccn                 0      1      3      -131.3106943761      -131.7056814004      -131.7205367964
h2cn                  0      1      2       -93.4338156910       -93.7045998470       -93.7131571145
h2no                  0      1      2      -130.3919956208      -130.7324495700      -130.7397255351
hcnh                  0      1      2       -93.4000896488       -93.6843776668       -93.6941925495
hco                   0      1      2      -113.2552179792      -113.5557545666      -113.5659003570
hoo                   0      1      2      -150.1765095578      -150.5330381032      -150.5410098643
hs                    0      1    N/A          UNCONVERGED          UNCONVERGED          UNCONVERGED
n2h                   0      1      2      -109.4320528991      -109.7398962004      -109.7503266110
nh                    0      2      1       -54.9610395044       -55.0779212046       -55.0790658256
nh2                   0      1      1       -55.5547214139       -55.7046159053       -55.7063525295
no                    0      1    N/A          UNCONVERGED          UNCONVERGED          UNCONVERGED
no2                   0      1      3      -204.0477890385      -204.5803015338      -204.6041069897
o2                    0      2      2      -149.6277044870      -149.9760198794      -149.9857369885
oclo                  0      1      7      -608.9572537157      -609.4856571265      -609.5055511125
of                    0      1    N/A          UNCONVERGED          UNCONVERGED          UNCONVERGED
oh                    0      1    N/A          UNCONVERGED          UNCONVERGED          UNCONVERGED
s2                    0      2     10      -795.0606808053      -795.3206973797      -795.3303758755
sif                   0      1    N/A          UNCONVERGED          UNCONVERGED          UNCONVERGED
sih                   0      1    N/A          UNCONVERGED          UNCONVERGED          UNCONVERGED
so                    0      2      6      -472.3481065022      -472.6521143664      -472.6616998377
ssh                   0      1     10      -795.6283523531      -795.8959713252      -795.9037320702
t-hooo                0      1      3      -224.9500349406      -225.5006689458      -225.5197567573
