Molecule             Shell               E_HF (Eh)          E_CCSD (Eh)       E_CCSD(T) (Eh)         E_AFQMC (Eh)   E_AFQMC ERR (Eh)   norb  Runtime (s)
--------------------------------------------------------------------------------------------------------------------------------------------------------
acetaldehyde         Closed        -152.9147181809      -153.3731730905      -153.3865563606           -153.38764            0.00025     47       259.43
acetic               Closed        -227.8110265942      -228.4494929491      -228.4674871599           -228.46870            0.00022     60       427.42
alcl                 Closed        -701.4851989924      -701.6873723682      -701.6919384171           -701.69272            0.00007     26       113.57
alcl3                Closed       -1620.6514851205     -1621.1397037123     -1621.1498461136          -1621.15161            0.00012     52       347.71
alf                  Closed        -341.4228496558      -341.6709445288      -341.6751954825           -341.67604            0.00025     26       105.31
alf3                 Closed        -540.4549264353      -541.0794557745      -541.0882934806           -541.09014            0.00027     52       304.53
alh                  Closed        -242.4528330406      -242.5162099257      -242.5171867279           -242.51741            0.00004     15        74.45
alh3                 Closed        -243.6261077558      -243.6989698183      -243.7000269882           -243.70045            0.00002     19        82.87
allene               Closed        -115.8578208228      -116.2593021699      -116.2742299325           -116.27519            0.00024     47       211.50
allyl                Open          -116.4617933742      -116.8484440703      -116.8603367478           -116.86239            0.00014     49       271.76
b2                   Open           -49.1434092113       -49.2576153770       -49.2656665614            -49.27189            0.00021     26        94.24
b2h6                 Closed         -52.8011810622       -53.0127912790       -53.0179443133            -53.01881            0.00005     38       162.65
benzene              Closed        -230.7050501463      -231.4845735091      -231.5187492834           -231.52322            0.00034     90      1133.31
beta-lactim          Closed        -245.7762841772      -246.5282080119      -246.5531283648           -246.55477            0.00028     75       725.02
bf                   Closed        -124.1075318340      -124.3734613885      -124.3794189329           -124.37973            0.00014     26       135.14
bf3                  Closed        -323.2010937786      -323.8440942413      -323.8549244586           -323.85688            0.00026     52       305.15
bh                   Closed         -25.1295022429       -25.2024295439       -25.2036723812            -25.20419            0.00005     15        72.76
bh3                  Closed         -26.3844593317       -26.4762393333       -26.4774778630            -26.47778            0.00002     19        82.95
bhf2                 Closed        -224.2632438519      -224.7239395117      -224.7320027545           -224.73308            0.00025     41       190.02
bn                   Closed         -78.9718474930       -79.1809810879       -79.1926260037            -79.20142            0.00038     26       100.75
bn3pi                Open           -78.9960224352       -79.1962853836       -79.2050413452            -79.20512            0.00030     26        97.01
borole               Closed        -179.0180442114      -179.6095301751      -179.6337154818           -179.63887            0.00022     75       659.31
c-hcoh               Closed        -113.7797618409      -114.0904451232      -114.0985243361           -114.09986            0.00018     30       115.24
c-hono               Closed        -204.6485422925      -205.1927722882      -205.2116981960           -205.21323            0.00030     41       190.08
c-hooo               Open          -224.9426175645      -225.5030705286      -225.5214396426           -225.52591            0.00041     41       192.89
c-n2h2               Closed        -109.9876009782      -110.3222265942      -110.3328913709           -110.33457            0.00018     30       114.13
c2                   Closed         -75.5053140149       -75.7012796414       -75.7129251577            -75.72474            0.00047     26       100.80
c2cl2                Closed        -994.6423831989      -995.1880789306      -995.2079087615           -995.20928            0.00028     52       297.96
c2cl4                Closed       -1913.6939236950     -1914.5449565579     -1914.5730635518          -1914.57588            0.00047     78       979.08
c2cl6                Closed       -2832.6923768972     -2833.8537560058     -2833.8901148081          -2833.89347            0.00037    104      2362.06
c2clh                Closed        -535.7309973950      -536.1352731617      -536.1504126079           -536.15093            0.00024     41       184.70
c2clh3               Closed        -536.9514816048      -537.3712477991      -537.3841272527           -537.38516            0.00016     45       238.59
c2clh5               Closed        -538.1429615957      -538.5788280220      -538.5890926374           -538.59010            0.00013     49       271.28
c2f4                 Closed        -473.4417244557      -474.4477870526      -474.4714325985           -474.47391            0.00032     78       870.32
c2f6                 Closed        -672.4133303940      -673.7950865383      -673.8235073072           -673.82670            0.00040    104      2126.12
c2h2                 Closed         -76.8179298672       -77.0809273285       -77.0914701384            -77.09176            0.00019     30       110.53
c2h3f                Closed        -176.8842104871      -177.3440247228      -177.3561756194           -177.35749            0.00026     45       210.85
c2h4                 Closed         -78.0260433742       -78.3046340946       -78.3131169142            -78.31376            0.00012     34       145.93
c2h5f                Closed        -178.0733635951      -178.5486681268      -178.5581857261           -178.55957            0.00013     49       269.43
c2h6                 Closed         -79.2158051594       -79.5126774341       -79.5189407199            -79.51976            0.00008     38       167.38
cch                  Open           -76.1534288066       -76.3803935986       -76.3900103552            -76.39122            0.00021     28       104.65
ccl2                 Closed        -956.7704508030      -957.1822941554      -957.1969310036           -957.19955            0.00019     39       203.75
ccl2h2               Closed        -958.0251588996      -958.4610620971      -958.4715165146           -958.47290            0.00017     43       231.69
ccl2o                Closed       -1031.7331873716     -1032.3389267879     -1032.3589018533          -1032.36053            0.00025     52       305.80
ccl3h                Closed       -1416.9353035741     -1417.5159054331     -1417.5314335230          -1417.53308            0.00018     54       378.38
ccl4                 Closed       -1875.8367938043     -1876.5644562164     -1876.5856653214          -1876.58749            0.00021     65       616.20
cclh3                Closed        -499.1079278016      -499.4023486400      -499.4084215033           -499.40928            0.00008     32       134.42
cf                   Open          -137.1800543439      -137.4678984645      -137.4749817546           -137.47576            0.00020     26       103.34
cf2                  Closed        -236.6735176708      -237.1707309143      -237.1828181024           -237.18478            0.00022     39       180.91
cf2cl2               Closed       -1155.7400599366     -1156.5434178992     -1156.5625053645          -1156.56436            0.00023     65       543.74
cf4                  Closed        -435.6652416233      -436.5434889833      -436.5600881536           -436.56185            0.00026     65       541.64
ch                   Open           -38.2725850051       -38.3672492005       -38.3688552864            -38.36948            0.00004     15        71.33
ch2-sing             Closed         -38.8929872802       -39.0007780260       -39.0024251349            -39.00257            0.00004     17        80.04
ch2-trip             Open           -38.9196772710       -39.0200135438       -39.0212572679            -39.02165            0.00002     17        78.82
ch2c                 Closed         -76.7662989569       -77.0148782172       -77.0236291229            -77.02434            0.00014     30       111.67
ch2ch                Open           -77.3877297189       -77.6362827755       -77.6441638913            -77.64544            0.00011     32       126.01
ch2clf               Closed        -597.9610046497      -598.4360741615      -598.4458485517           -598.44696            0.00015     43       227.62
ch2f2                Closed        -237.9046058645      -238.4189400927      -238.4279820828           -238.42926            0.00017     43       202.18
ch2nh                Closed         -94.0260012081       -94.3310461822       -94.3403812154            -94.34093            0.00014     32       129.40
ch2nh2               Open           -94.5797915715       -94.8788042740       -94.8850514267            -94.88602            0.00012     34       148.65
ch3                  Open           -39.5532426859       -39.6826946936       -39.6844571642            -39.68490            0.00003     19        86.17
ch3f                 Closed        -139.0345805992      -139.3689142898      -139.3744304100           -139.37514            0.00012     32       133.86
ch3nh                Open           -94.5863373347       -94.8762604892       -94.8822150483            -94.88331            0.00008     34       149.40
ch3nh2               Closed         -95.1996556771       -95.5209346367       -95.5272995691            -95.52806            0.00009     36       159.59
ch3ph2               Closed        -381.4937798938      -381.7717562377      -381.7785070957           -381.77953            0.00009     36       159.97
ch4                  Closed         -40.1852147545       -40.3422906731       -40.3447557139            -40.34518            0.00006     21        93.91
chf3                 Closed        -336.7860823888      -337.4822048429      -337.4950252069           -337.49695            0.00025     54       330.75
cis-c2f2cl2          Closed       -1193.5627039805     -1194.4915021883     -1194.5174523586          -1194.51982            0.00045     78       876.20
cl2                  Closed        -918.9609353931      -919.2569519889      -919.2632424687           -919.26428            0.00009     26       116.92
cl2o                 Closed        -993.7134274389      -994.2026311483      -994.2163017685           -994.21760            0.00023     39       207.28
clcn                 Closed        -551.7885668531      -552.2199559622      -552.2367016992           -552.23747            0.00029     39       175.21
clcof                Closed        -671.6816527565      -672.3250062951      -672.3435657533           -672.34559            0.00028     52       305.77
clf                  Closed        -558.8442447791      -559.1867639423      -559.1933722320           -559.19444            0.00014     26       109.05
