molecule,formula,2S,shell,AE_AFQMC_kcal,AE_AFQMC_err_kcal,AE_UHF-CCSD(T)_kcal,AE_UHF-CCSDT_kcal,AE_CCSDT(Q)_kcal,delta_AFQMC_kcal,delta_UHF-CCSD(T)_kcal,delta_UHF-CCSDT_kcal
acetaldehyde,C2H4O,0,closed,601.767153,0.161221,601.618433,601.587058,602.295516,-0.528363,-0.677083,-0.708458
acetic,C2H4O2,0,closed,709.035505,0.143759,708.910631,708.768186,709.835580,-0.800075,-0.924949,-1.067394
alcl,AlCl,0,closed,107.826835,0.045636,107.791067,107.771615,107.963005,-0.136170,-0.171938,-0.191390
alcl3,AlCl3,0,closed,271.345137,0.082907,271.020087,270.919685,271.295563,0.049573,-0.275477,-0.375878
alf,AlF,0,closed,142.139053,0.159122,142.038024,141.962096,142.252005,-0.112952,-0.213981,-0.289909
alf3,AlF3,0,closed,367.113750,0.180815,366.655041,366.529539,367.275020,-0.161270,-0.619979,-0.745481
alh,AlH,0,closed,60.486266,0.025842,60.654438,60.675774,60.692089,-0.205823,-0.037651,-0.016315
alh3,AlH3,0,closed,176.246076,0.017749,176.282471,176.343967,176.364675,-0.118599,-0.082204,-0.020708
allene,C3H4,0,closed,624.959903,0.155846,624.991279,624.922880,625.568587,-0.608684,-0.577309,-0.645707
allyl,C3H5,1,open,680.132419,0.095579,679.477299,679.837489,680.346399,-0.213981,-0.869101,-0.508910
b2,B2,2,open,57.824998,0.134146,57.504968,58.145028,59.053662,-1.228664,-1.548693,-0.908634
b2h6,B2H6,0,closed,529.232705,0.040672,529.279141,529.365110,529.444176,-0.211471,-0.165035,-0.079066
benzene,C6H6,0,closed,1231.979310,0.229213,1231.767840,1230.860461,1232.434255,-0.454944,-0.666415,-1.573794
beta-lactim,C3H5NO,0,closed,870.631117,0.179015,870.452904,870.001098,871.409856,-0.778739,-0.956952,-1.408759
bf,BF,0,closed,164.448898,0.091934,164.681704,164.660369,164.961573,-0.512675,-0.279869,-0.301205
bf3,BF3,0,closed,428.991832,0.173106,428.459704,428.328554,428.974889,0.016943,-0.515185,-0.646335
bh,BH,0,closed,72.188062,0.036135,72.235753,72.278424,72.306662,-0.118599,-0.070909,-0.028238
bh3,BH3,0,closed,244.771366,0.016885,244.876787,244.870512,244.888082,-0.116717,-0.011295,-0.017570
bhf2,BF2H,0,closed,369.195827,0.161820,369.081620,369.023889,369.460636,-0.264809,-0.379016,-0.436747
bn,BN,0,closed,83.379066,0.241372,86.637096,84.656676,87.119650,-3.740584,-0.482555,-2.462975
bn3pi,BN,2,open,85.698969,0.188775,86.051002,86.857351,87.489253,-1.790285,-1.438252,-0.631902
borole,BC4H5,0,closed,947.388704,0.147431,947.256927,946.903639,948.115360,-0.726656,-0.858433,-1.211721
c-hcoh,CH2O,0,closed,270.127141,0.117438,269.884922,270.038662,270.526864,-0.399724,-0.641942,-0.488202
c-hono,HNO2,0,closed,260.435885,0.188158,259.967762,260.097029,261.703454,-1.267569,-1.735691,-1.606424
c-hooo,HO3,1,open,185.912232,0.260019,183.353248,184.005231,186.102995,-0.190763,-2.749747,-2.097764
c-n2h2,H2N2,0,closed,237.603952,0.115518,237.212386,237.242507,238.017481,-0.413529,-0.805095,-0.774974
c2,C2,0,closed,127.583971,0.297246,129.093759,127.851290,130.506283,-2.922312,-1.412524,-2.654993
c2cl2,C2Cl2,0,closed,307.202911,0.178023,307.083684,306.664507,307.746961,-0.544051,-0.663278,-1.082454
c2cl4,C2Cl4,0,closed,412.810873,0.300222,412.343378,411.785522,413.043051,-0.232179,-0.699673,-1.257529
c2cl6,C2Cl6,0,closed,487.671498,0.247748,486.949234,486.176770,487.539721,0.131777,-0.590486,-1.362951
c2clh,C2ClH,0,closed,333.255221,0.152578,333.513755,333.243926,334.080396,-0.825175,-0.566641,-0.836470
c2clh3,C2ClH3,0,closed,481.143517,0.104854,481.097709,481.015505,481.550770,-0.407254,-0.453062,-0.535266
c2clh5,C2ClH5,0,closed,610.645784,0.084490,610.601859,610.523420,610.882983,-0.237199,-0.281124,-0.359563
c2f4,C2F4,0,closed,527.939408,0.217673,527.348294,527.296839,528.559388,-0.619979,-1.211093,-1.262549
c2f6,C2F6,0,closed,714.442127,0.274112,713.672172,713.578046,714.903974,-0.461847,-1.231801,-1.325928
c2h2,C2H2,0,closed,358.795485,0.124912,359.035821,358.889611,359.488883,-0.693398,-0.453062,-0.599272
c2h3f,C2FH3,0,closed,508.556896,0.166758,508.291459,508.300244,508.865003,-0.308107,-0.573544,-0.564759
c2h4,C2H4,0,closed,499.005574,0.076997,499.027537,499.026282,499.358234,-0.352660,-0.330697,-0.331953
c2h5f,C2FH5,0,closed,636.270761,0.084481,635.960772,635.944456,636.343552,-0.072791,-0.382781,-0.399096
c2h6,C2H6,0,closed,629.177394,0.055566,629.090170,629.070090,629.278423,-0.101029,-0.188253,-0.208333
cch,C2H,1,open,232.504810,0.134146,232.164700,232.830488,233.419719,-0.914909,-1.255019,-0.589231
ccl2,CCl2,0,closed,150.943011,0.121874,150.546425,150.811862,151.391053,-0.448042,-0.844628,-0.579191
ccl2h2,CCl2H2,0,closed,323.375085,0.109093,323.039995,322.970341,323.340572,0.034513,-0.300577,-0.370231
ccl2o,CCl2O,0,closed,308.356273,0.159245,307.974747,307.855520,308.844475,-0.488202,-0.869728,-0.988955
ccl3h,CCl3H,0,closed,298.467979,0.117356,298.129124,297.947146,298.510022,-0.042043,-0.380898,-0.562876
ccl4,CCl4,0,closed,269.944536,0.140989,269.650861,269.293808,270.080705,-0.136170,-0.429844,-0.786897
cclh3,CClH3,0,closed,346.122303,0.055619,345.956641,345.950993,346.158071,-0.035768,-0.201431,-0.207078
cf,CF,1,open,117.507424,0.127525,117.363724,117.542565,117.840004,-0.332580,-0.476280,-0.297439
cf2,CF2,0,closed,231.231594,0.145454,230.601574,230.729586,231.354585,-0.122992,-0.753011,-0.624999
cf2cl2,CCl2F2,0,closed,344.985884,0.154761,344.624438,344.471953,345.247555,-0.261671,-0.623117,-0.775602
cf4,CF4,0,closed,432.969614,0.182406,432.614444,432.501492,433.361180,-0.391566,-0.746736,-0.859688
ch,CH,1,open,68.706012,0.028063,68.703502,68.812061,68.835279,-0.129267,-0.131777,-0.023218
ch2-sing,CH2,0,closed,152.675565,0.028063,151.707945,151.947654,152.021700,0.653865,-0.313755,-0.074046
ch2-trip,CH2,2,open,164.645936,0.017749,164.610795,164.613933,164.649073,-0.003138,-0.038278,-0.035141
ch2c,C2H2,0,closed,316.491933,0.089558,316.596727,316.788745,317.142661,-0.650727,-0.545933,-0.353915
ch2ch,C2H3,1,open,392.933882,0.073448,392.554867,392.983456,393.306623,-0.372741,-0.751756,-0.323167
ch2clf,CClFH2,0,closed,351.877820,0.095804,351.687057,351.683920,352.091801,-0.213981,-0.404744,-0.407881
ch2f2,CF2H2,0,closed,385.547468,0.112645,385.031656,385.042951,385.509190,0.038278,-0.477535,-0.466240
ch2nh,CH3N,0,closed,378.826214,0.090824,378.863238,378.873905,379.387208,-0.560993,-0.523970,-0.513303
ch2nh2,CH4N,1,open,407.573678,0.076597,407.291299,407.351540,407.688513,-0.114834,-0.397213,-0.336973
ch3,CH3,1,open,267.538664,0.022625,267.473403,267.494111,267.556862,-0.018198,-0.083459,-0.062751
ch3f,CFH3,0,closed,369.477578,0.079829,369.380314,369.407297,369.674616,-0.197038,-0.294302,-0.267319
ch3nh,CH4N,1,open,405.873128,0.052125,405.511682,405.637812,405.885051,-0.011923,-0.373368,-0.247239
