Molecule                        E_HF (Eh)          E_CCSD (Eh)    E_UHF-UCCSD(T) (Eh)    E_UHF-UCCSDT (Eh)      E_CCSDT(Q) (Eh)
-------------------------------------------------------------------------------------------------------------------------------
acetaldehyde              -152.9147180000      -153.3731730000        -153.3865560000      -153.3872400000      -153.3884820000
acetic                    -227.8110270000      -228.4494930000        -228.4674870000      -228.4681060000      -228.4699890000
alcl                      -701.4851990000      -701.6873720000        -701.6919380000      -701.6924600000      -701.6929090000
alcl3                    -1620.6514850000     -1621.1397040000       -1621.1498460000     -1621.1506250000     -1621.1516560000
alf                       -341.4228500000      -341.6709450000        -341.6751950000      -341.6755100000      -341.6760820000
alf3                      -540.4549260000      -541.0794560000        -541.0882930000      -541.0886810000      -541.0901990000
alh                       -242.4525020000      -242.5162420000        -242.5172060000      -242.5176000000      -242.5176260000
alh3                      -243.6261080000      -243.6989700000        -243.7000270000      -243.7004850000      -243.7005180000
allene                    -115.8578210000      -116.2593020000        -116.2742300000      -116.2750540000      -116.2761490000
allyl                     -116.4617930000      -116.8484440000        -116.8603370000      -116.8618440000      -116.8627210000
b2                         -49.0856260000       -49.2564580000         -49.2704560000       -49.2722040000       -49.2736520000
b2h6                       -52.8011810000       -53.0127910000         -53.0179440000       -53.0188090000       -53.0189350000
benzene                   -230.7021220000      -231.4870210000        -231.5208770000      -231.5212970000      -231.5239370000
beta-lactim               -245.7762840000      -246.5282080000        -246.5531280000      -246.5535820000      -246.5559950000
bf                        -124.1075320000      -124.3734610000        -124.3794190000      -124.3798250000      -124.3804150000
bf3                       -323.2010940000      -323.8440940000        -323.8549240000      -323.8553070000      -323.8566670000
bh                         -25.1234400000       -25.2025390000         -25.2038010000       -25.2042330000       -25.2042780000
bh3                        -26.3844590000       -26.4762390000         -26.4774780000       -26.4778320000       -26.4778600000
bhf2                      -224.2632440000      -224.7239390000        -224.7320030000      -224.7324270000      -224.7333430000
bn                         -78.8881230000       -79.1771180000         -79.2059750000       -79.2033120000       -79.2072700000
bn3pi                      -78.9960220000       -79.1962850000         -79.2050410000       -79.2068190000       -79.2078590000
borole                    -179.0064730000      -179.6119230000        -179.6368560000      -179.6379010000      -179.6399200000
c-hcoh                    -113.7777190000      -114.0908500000        -114.0989720000      -114.0996400000      -114.1005090000
c-hono                    -204.6483890000      -205.1928600000        -205.2119650000      -205.2125240000      -205.2152550000
c-hooo                    -224.9370580000      -225.5025970000        -225.5213200000      -225.5226950000      -225.5262450000
c-n2h2                    -109.9853470000      -110.3226710000        -110.3335820000      -110.3338880000      -110.3351890000
c2                         -75.3868170000       -75.6989400000         -75.7264780000       -75.7251200000       -75.7293950000
c2cl2                     -994.6423830000      -995.1880790000        -995.2079090000      -995.2082490000      -995.2103060000
c2cl4                    -1913.6935770000     -1914.5453120000       -1914.5734370000     -1914.5739420000     -1914.5765660000
c2cl6                    -2832.6923770000     -2833.8537560000       -2833.8901150000     -2833.8906640000     -2833.8937440000
c2clh                     -535.7309970000      -536.1352730000        -536.1504130000      -536.1507980000      -536.1523190000
c2clh3                    -536.9514770000      -537.3712760000        -537.3841590000      -537.3848430000      -537.3858840000
c2clh5                    -538.1429620000      -538.5788280000        -538.5890930000      -538.5897830000      -538.5905440000
c2f4                      -473.4417240000      -474.4477870000        -474.4714330000      -474.4722770000      -474.4747730000
c2f6                      -672.4133300000      -673.7950870000        -673.8235070000      -673.8244350000      -673.8272520000
c2h2                       -76.8179300000       -77.0809270000         -77.0914700000       -77.0918590000       -77.0928580000
c2h3f                     -176.8842100000      -177.3440250000        -177.3561760000      -177.3568880000      -177.3579420000
c2h4                       -78.0260430000       -78.3046340000         -78.3131170000       -78.3137370000       -78.3143100000
c2h5f                     -178.0733640000      -178.5486680000        -178.5581860000      -178.5588580000      -178.5596480000
c2h6                       -79.2158050000       -79.5126770000         -79.5189410000       -79.5195310000       -79.5199070000
cch                        -76.1534290000       -76.3803940000         -76.3900100000       -76.3916930000       -76.3926760000
ccl2                      -956.7635590000      -957.1833230000        -957.1980740000      -957.1991940000      -957.2004270000
ccl2h2                    -958.0251590000      -958.4610620000        -958.4715160000      -958.4721020000      -958.4730020000
ccl2o                    -1031.7331870000     -1032.3389270000       -1032.3589020000     -1032.3595210000     -1032.3614760000
ccl3h                    -1416.9353040000     -1417.5159050000       -1417.5314330000     -1417.5320330000     -1417.5333840000
ccl4                     -1875.8367940000     -1876.5644560000       -1876.5856650000     -1876.5861790000     -1876.5880310000
cclh3                     -499.1079280000      -499.4023490000        -499.4084210000      -499.4089160000      -499.4094120000
cf                        -137.1800540000      -137.4678980000        -137.4749820000      -137.4756540000      -137.4762600000
cf2                       -236.6731460000      -237.1709380000        -237.1830120000      -237.1836790000      -237.1849170000
cf2cl2                   -1155.7400600000     -1156.5434180000       -1156.5625050000     -1156.5631110000     -1156.5648770000
cf4                       -435.6652420000      -436.5434890000        -436.5600880000      -436.5605230000      -436.5623550000
ch                         -38.2696470000       -38.3675650000         -38.3691410000       -38.3696250000       -38.3696840000
ch2-sing                   -38.8748960000       -38.9983440000         -39.0006950000       -39.0013880000       -39.0015280000
ch2-trip                   -38.9196770000       -39.0200140000         -39.0212570000       -39.0215730000       -39.0216510000
