Molecule                        Shell   Run time (s)
----------------------------------------------------
acetaldehyde             closed_shell         259.43
acetic                   closed_shell         427.42
alcl3                    closed_shell         347.71
alcl                     closed_shell         113.57
alf3                     closed_shell         304.53
alf                      closed_shell         105.31
alh3                     closed_shell          82.87
alh                      closed_shell          74.45
allene                   closed_shell         211.50
b2h6                     closed_shell         162.65
benzene                  closed_shell        1133.31
beta-lactim              closed_shell         725.02
bf3                      closed_shell         305.15
bf                       closed_shell         135.14
bh3                      closed_shell          82.95
bh                       closed_shell          72.76
bhf2                     closed_shell         190.02
bn                       closed_shell         100.75
borole                   closed_shell         659.31
c-hcoh                   closed_shell         115.24
c-hono                   closed_shell         190.08
c-n2h2                   closed_shell         114.13
c2                       closed_shell         100.80
c2cl2                    closed_shell         297.96
c2cl4                    closed_shell         979.08
c2cl6                    closed_shell        2362.06
c2clh3                   closed_shell         238.59
c2clh5                   closed_shell         271.28
c2clh                    closed_shell         184.70
c2f4                     closed_shell         870.32
c2f6                     closed_shell        2126.12
c2h2                     closed_shell         110.53
c2h3f                    closed_shell         210.85
c2h4                     closed_shell         145.93
c2h5f                    closed_shell         269.43
c2h6                     closed_shell         167.38
ccl2                     closed_shell         203.75
ccl2h2                   closed_shell         231.69
ccl2o                    closed_shell         305.80
ccl3h                    closed_shell         378.38
ccl4                     closed_shell         616.20
cclh3                    closed_shell         134.42
cf2                      closed_shell         180.91
cf2cl2                   closed_shell         543.74
cf4                      closed_shell         541.64
ch2-sing                 closed_shell          80.04
ch2c                     closed_shell         111.67
ch2clf                   closed_shell         227.62
ch2f2                    closed_shell         202.18
ch2nh                    closed_shell         129.40
ch3f                     closed_shell         133.86
ch3nh2                   closed_shell         159.59
ch3ph2                   closed_shell         159.97
ch4                      closed_shell          93.91
chf3                     closed_shell         330.75
cis-c2f2cl2              closed_shell         876.20
cl2                      closed_shell         116.92
cl2o                     closed_shell         207.28
clcn                     closed_shell         175.21
clcof                    closed_shell         305.77
clf3                     closed_shell         319.53
clf5                     closed_shell         917.25
clf                      closed_shell         109.05
clno                     closed_shell         183.36
cloocl                   closed_shell         354.72
co2                      closed_shell         177.99
co                       closed_shell         103.59
