Molecule        E_HF (Eh)      E_CCSD (Eh)   E_CCSD(T) (Eh)  E_AFQMC (Eh)  E_AFQMC ERR (Eh)
al        -241.8735095886  -241.9205854848  -241.9212686529    -241.92174           0.00002
b          -24.5299616243   -24.5886044831   -24.5894078999     -24.58987           0.00002
c          -37.6865444373   -37.7594508368   -37.7603771209     -37.76071           0.00002
cl        -459.4711434860  -459.5977387111  -459.5988929113    -459.59915           0.00002
f          -99.3752403031   -99.5266898633   -99.5275740835     -99.52779           0.00003
h           -0.4992784034    -0.4992784034    -0.4992784034      -0.49928           0.00000
n          -54.3911145622   -54.4778744001   -54.4785017482     -54.47868           0.00001
o          -74.7921660583   -74.9092006217   -74.9099502866     -74.91012           0.00002
p         -340.7090480591  -340.7903162857  -340.7913307177    -340.79165           0.00001
s         -397.4968015383  -397.5994161552  -397.6005525448    -397.60085           0.00002
si        -288.8500765667  -288.9140916974  -288.9150891545    -288.91554           0.00002
