Molecule    E_HF (Eh)  E_CCSD (Eh)  E_UHF-CCSD(T) (Eh)  E_UHF-CCSDT (Eh)  E_CCSDT(Q) (Eh)
h           -0.499278    -0.499278           -0.499278         -0.499278        -0.499278
b          -24.529962   -24.588605          -24.589408        -24.589772       -24.589772
c          -37.686544   -37.759451          -37.760377        -37.760688       -37.760710
n          -54.391115   -54.477874          -54.478502        -54.478631       -54.478664
o          -74.792166   -74.909201          -74.909950        -74.910062       -74.910131
f          -99.375240   -99.526690          -99.527574        -99.527650       -99.527760
al        -241.873510  -241.920585         -241.921269       -241.921629      -241.921629
si        -288.850077  -288.914092         -288.915089       -288.915487      -288.915522
p         -340.709048  -340.790316         -340.791331       -340.791603      -340.791679
s         -397.496802  -397.599416         -397.600553       -397.600811      -397.600912
cl        -459.471143  -459.597739         -459.598893       -459.599086      -459.599230
