Molecule          Charge     2S frozen            E_HF (Eh)          E_CCSD (Eh)    E_UHF-CCSD(T) (Eh)      E_UHF-CCSDT (Eh)      E_CCSDT(Q) (Eh)
h                      0      1    N/A            -0.499278            -0.499278             -0.499278             -0.499278            -0.499278
b                      0      1      1           -24.529962           -24.588605            -24.589408            -24.589772           -24.589772
c                      0      2      1           -37.686544           -37.759451            -37.760377            -37.760688           -37.760710
n                      0      3      1           -54.391115           -54.477874            -54.478502            -54.478631           -54.478664
o                      0      2      1           -74.792166           -74.909201            -74.909950            -74.910062           -74.910131
f                      0      1      1           -99.375240           -99.526690            -99.527574            -99.527650           -99.527760
al                     0      1      5          -241.873510          -241.920585           -241.921269           -241.921629          -241.921629
si                     0      2      5          -288.850077          -288.914092           -288.915089           -288.915487          -288.915522
p                      0      3      5          -340.709048          -340.790316           -340.791331           -340.791603          -340.791679
s                      0      2      5          -397.496802          -397.599416           -397.600553           -397.600811          -397.600912
cl                     0      1      5          -459.471143          -459.597739           -459.598893           -459.599086          -459.599230
