Molecule                                  E_HF (Eh)          E_CCSD (Eh)    E_UHF-UCCSD(T) (Eh)    E_UHF-UCCSDT (Eh)      E_CCSDT(Q) (Eh)        E_AFQMC (Eh)  E_AFQMC ERR (Eh)
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
acetaldehyde                           -152.914718         -153.373173           -153.386556         -153.387240         -153.388482         -153.387640          0.000250
acetic                                 -227.811027         -228.449493           -228.467487         -228.468106         -228.469989         -228.468700          0.000220
alcl                                   -701.485199         -701.687372           -701.691938         -701.692460         -701.692909         -701.692720          0.000070
alcl3                                  -1620.651485        -1621.139704          -1621.149846        -1621.150625        -1621.151656        -1621.151610          0.000120
alf                                    -341.422850         -341.670945           -341.675195         -341.675510         -341.676082         -341.676040          0.000250
alf3                                   -540.454926         -541.079456           -541.088293         -541.088681         -541.090199         -541.090140          0.000270
alh                                    -242.452502         -242.516242           -242.517206         -242.517600         -242.517626         -242.517410          0.000040
alh3                                   -243.626108         -243.698970           -243.700027         -243.700485         -243.700518         -243.700450          0.000020
allene                                 -115.857821         -116.259302           -116.274230         -116.275054         -116.276149         -116.275190          0.000240
allyl                                  -116.461793         -116.848444           -116.860337         -116.861844         -116.862721         -116.862390          0.000140
b2                                      -49.085626          -49.256458            -49.270456          -49.272204          -49.273652          -49.271890          0.000210
b2h6                                    -52.801181          -53.012791            -53.017944          -53.018809          -53.018935          -53.018810          0.000050
benzene                                -230.702122         -231.487021           -231.520877         -231.521297         -231.523937         -231.523220          0.000340
beta-lactim                            -245.776284         -246.528208           -246.553128         -246.553582         -246.555995         -246.554770          0.000280
bf                                     -124.107532         -124.373461           -124.379419         -124.379825         -124.380415         -124.379730          0.000140
bf3                                    -323.201094         -323.844094           -323.854924         -323.855307         -323.856667         -323.856880          0.000260
bh                                      -25.123440          -25.202539            -25.203801          -25.204233          -25.204278          -25.204190          0.000050
bh3                                     -26.384459          -26.476239            -26.477478          -26.477832          -26.477860          -26.477780          0.000020
bhf2                                   -224.263244         -224.723939           -224.732003         -224.732427         -224.733343         -224.733080          0.000250
bn                                      -78.888123          -79.177118            -79.205975          -79.203312          -79.207270          -79.201420          0.000380
bn3pi                                   -78.996022          -79.196285            -79.205041          -79.206819          -79.207859          -79.205120          0.000300
borole                                 -179.006473         -179.611923           -179.636856         -179.637901         -179.639920         -179.638870          0.000220
c-hcoh                                 -113.777719         -114.090850           -114.098972         -114.099640         -114.100509         -114.099860          0.000180
c-hono                                 -204.648389         -205.192860           -205.211965         -205.212524         -205.215255         -205.213230          0.000300
c-hooo                                 -224.937058         -225.502597           -225.521320         -225.522695         -225.526245         -225.525910          0.000410
c-n2h2                                 -109.985347         -110.322671           -110.333582         -110.333888         -110.335189         -110.334570          0.000180
c2                                      -75.386817          -75.698940            -75.726478          -75.725120          -75.729395          -75.724740          0.000470
c2cl2                                  -994.642383         -995.188079           -995.207909         -995.208249         -995.210306         -995.209280          0.000280
c2cl4                                  -1913.693577        -1914.545312          -1914.573437        -1914.573942        -1914.576566        -1914.575880          0.000470
c2cl6                                  -2832.692377        -2833.853756          -2833.890115        -2833.890664        -2833.893744        -2833.893470          0.000370
c2clh                                  -535.730997         -536.135273           -536.150413         -536.150798         -536.152319         -536.150930          0.000240
c2clh3                                 -536.951477         -537.371276           -537.384159         -537.384843         -537.385884         -537.385160          0.000160
c2clh5                                 -538.142962         -538.578828           -538.589093         -538.589783         -538.590544         -538.590100          0.000130
c2f4                                   -473.441724         -474.447787           -474.471433         -474.472277         -474.474773         -474.473910          0.000320
c2f6                                   -672.413330         -673.795087           -673.823507         -673.824435         -673.827252         -673.826700          0.000400
c2h2                                    -76.817930          -77.080927            -77.091470          -77.091859          -77.092858          -77.091760          0.000190
c2h3f                                  -176.884210         -177.344025           -177.356176         -177.356888         -177.357942         -177.357490          0.000260
c2h4                                    -78.026043          -78.304634            -78.313117          -78.313737          -78.314310          -78.313760          0.000120
c2h5f                                  -178.073364         -178.548668           -178.558186         -178.558858         -178.559648         -178.559570          0.000130
c2h6                                    -79.215805          -79.512677            -79.518941          -79.519531          -79.519907          -79.519760          0.000080
cch                                     -76.153429          -76.380394            -76.390010          -76.391693          -76.392676          -76.391220          0.000210
ccl2                                   -956.763559         -957.183323           -957.198074         -957.199194         -957.200427         -957.199550          0.000190
