,,,,,,,,,,,,,,,,,,
Acronym:,"VDZ(d,s)",,,,,,,,,,,,,,,,,
atom,HF,CCSD,UHF-UCCSD(T),RHF-UCCSD(T),CCSD(T)Λ,UHF-UCCSDT,RHF-UCCSDT,CCSDT(Q),CCSDT-1b,CCSDT-3,CCSDTQ-3,CCSDT(Q)/A,CCSDT(Q)/B,CCSDT(Q)Λ,CCSDTQ,CCSDTQ(5),CCSDTQ(5)Λ,CCSDTQ5
h,-0.499278,-0.499278,-0.499278,-0.499278,-0.499278,-0.499278,-0.499278,-0.499278,-0.499278,-0.499278,-0.499278,-0.499278,-0.499278,-0.499278,-0.499278,-0.499278,-0.499278,-0.499278
b,-24.529962,-24.588605,-24.589408,-24.589390,-24.589358,-24.589772,-24.589762,-24.589772,-24.589371,-24.589289,-24.589289,-24.589772,-24.589772,-24.589772,-24.589772,-24.589772,-24.589772,-24.589772
c,-37.686544,-37.759451,-37.760377,-37.760340,-37.760340,-37.760688,-37.760654,-37.760710,-37.760355,-37.760257,-37.760705,-37.760710,-37.760710,-37.760709,-37.760717,-37.760717,-37.760717,-37.760717
n,-54.391115,-54.477874,-54.478502,-54.478431,-54.478489,-54.478631,-54.478563,-54.478664,-54.478494,-54.478439,-54.478657,-54.478664,-54.478664,-54.478663,-54.478673,-54.478673,-54.478673,-54.478673
o,-74.792166,-74.909201,-74.909950,-74.909892,-74.909951,-74.910062,-74.910009,-74.910131,-74.909957,-74.909922,-74.910127,-74.910131,-74.910131,-74.910130,-74.910140,-74.910143,-74.910143,-74.910143
f,-99.375240,-99.526690,-99.527574,-99.527542,-99.527600,-99.527650,-99.527620,-99.527760,-99.527608,-99.527548,-99.527754,-99.527761,-99.527760,-99.527759,-99.527765,-99.527771,-99.527771,-99.527772
al,-241.873510,-241.920585,-241.921269,-241.921239,-241.921227,-241.921629,-241.921628,-241.921629,-241.921241,-241.921154,-241.921154,-241.921629,-241.921629,-241.921629,-241.921629,-241.921629,-241.921629,-241.921629
si,-288.850077,-288.914092,-288.915089,-288.915061,-288.915036,-288.915487,-288.915481,-288.915522,-288.915053,-288.914892,-288.915518,-288.915522,-288.915522,-288.915520,-288.915536,-288.915536,-288.915536,-288.915536
p,-340.709048,-340.790316,-340.791331,-340.791325,-340.791286,-340.791603,-340.791597,-340.791679,-340.791299,-340.791080,-340.791676,-340.791679,-340.791679,-340.791676,-340.791704,-340.791705,-340.791705,-340.791705
s,-397.496802,-397.599416,-397.600553,-397.600522,-397.600520,-397.600811,-397.600797,-397.600912,-397.600536,-397.600479,-397.600904,-397.600912,-397.600912,-397.600910,-397.600933,-397.600936,-397.600936,-397.600937
cl,-459.471143,-459.597739,-459.598893,-459.598872,-459.598868,-459.599086,-459.599074,-459.599230,-459.598886,-459.598811,-459.599219,-459.599230,-459.599230,-459.599227,-459.599247,-459.599251,-459.599251,-459.599252
,,,,,,,,,,,,,,,,,,
molecule,200,200,200,40,200,200,40,200,137,137,137,198,198,200,184,165,163,65
missing systems,0,0,0,,0,0,,0,63,63,63,2,2,0,16,32,34,63
 systems completed out of 63 in W4-17,63 /63,63 /63,63 /63,,63 /63,63 /63,,63 /63,0 /63,0 /63,0 /63,61 /63,61 /63,63 /63,47 /63,31 /63,29 /63,0 /63
cyclobutene,-154.892484,-155.438560,-155.457570,,-155.456985,-155.458247,,-155.459689,,,,-155.459660,-155.459670,-155.459675,-155.459535,error,error,
t-butadiene,-154.913716,-155.455565,-155.475284,,-155.474561,-155.476296,,-155.477757,,,,-155.477713,-155.477729,-155.477721,-155.477602,-155.477720,costly,
cyclobutane,-156.082108,-156.647071,-156.663398,,-156.663060,-156.664187,,-156.665277,,,,-156.665257,-156.665265,-156.665281,-156.665183,-156.665261,-156.665278,
n-pentane,-196.310796,-197.032692,-197.051454,,-197.051151,-197.052616,,-197.053767,,,,-197.053741,-197.053751,-197.053772,costly,costly,costly,
benzene,-230.702122,-231.487021,-231.520877,,-231.519533,-231.521297,,-231.523937,,,,-231.523856,-231.523886,-231.523951,costly,costly,costly,
hclo4,-759.068194,-759.976376,-760.006152,,-760.005651,-760.006162,,-760.010120,,,,-760.009500,-760.009733,-760.009983,costly,costly,costly,
c2f6,-672.413330,-673.795087,-673.823507,,-673.823974,-673.824435,,-673.827252,,,,nomatch,nomatch,-673.827219,costly,costly,costly,
c2cl6,-2832.692377,-2833.853756,-2833.890115,,-2833.889369,-2833.890664,,-2833.893744,,,,nomatch,nomatch,-2833.893765,costly,costly,costly,
n2o4,-408.066314,-409.173408,-409.227493,,-409.226467,-409.227236,,-409.234275,,,,-409.232647,-409.233289,-409.233934,costly,costly,costly,
cloocl,-1068.478278,-1069.164346,-1069.186313,,-1069.185361,-1069.186856,,-1069.190143,,,,-1069.189973,-1069.190039,-1069.189956,-1069.189686,-1069.189940,-1069.189958,
clo3,-683.674299,-684.388582,-684.416004,-684.416183,-684.415247,-684.416371,-684.416211,-684.420525,,,,-684.419731,-684.420063,-684.420229,-684.419830,-684.419859,-684.420101,
hoclo,-609.565502,-610.103814,-610.120709,,-610.120101,-610.121327,,-610.124033,,,,-610.123654,-610.123788,-610.123797,-610.123598,-610.123700,-610.123763,
pf5,-838.047932,-839.108044,-839.125725,,-839.125964,-839.126169,,-839.128657,,,,-839.128414,-839.128505,-839.128632,costly,costly,costly,
sf6,-994.005979,-995.298872,-995.323184,,-995.323234,-995.323593,,-995.326840,,,,-995.326567,-995.326673,-995.326818,costly,costly,costly,
oxadiazole,-260.557154,-261.336237,-261.370584,,-261.369414,-261.370343,,-261.374466,,,,-261.374129,-261.374239,-261.374298,-261.373811,costly,costly,
dioxetan2one,-301.489059,-302.291559,-302.317759,,-302.317476,-302.318148,,-302.320905,,,,-302.320508,-302.320655,-302.320832,-302.320568,costly,costly,
dioxetane,-227.732307,-228.368060,-228.385185,,-228.384961,-228.385723,,-228.387411,,,,-228.387314,-228.387350,-228.387397,-228.387254,-228.387318,-228.387349,
dithiotane,-873.082943,-873.640631,-873.659161,,-873.658602,-873.659946,,-873.661491,,,,-873.661449,-873.661465,-873.661474,-873.661378,-873.661485,-873.661513,
borole,-179.006473,-179.611923,-179.636856,,-179.635850,-179.637901,,-179.639920,,,,-179.639847,-179.639874,-179.639875,-179.639719,costly,costly,
c2cl4,-1913.693577,-1914.545312,-1914.573437,,-1914.572569,-1914.573942,,-1914.576566,,,,-1914.576407,-1914.576467,-1914.576534,costly CFOUR,costly,costly,
c2f4,-473.441724,-474.447787,-474.471433,,-474.471413,-474.472277,,-474.474773,,,,-474.474439,-474.474563,-474.474707,costly CFOUR,costly,costly,
cis-c2f2cl2,-1193.562663,-1194.491628,-1194.517564,,-1194.517159,-1194.518353,,-1194.520876,,,,-1194.520596,-1194.520701,-1194.520816,costly CFOUR,costly,costly,
trans-c2f2cl2,-1193.565595,-1194.494333,-1194.520250,,-1194.519837,-1194.521027,,-1194.523541,,,,-1194.523266,-1194.523369,-1194.523483,costly CFOUR,costly,costly,
cyclopentadiene,-192.788269,-193.457640,-193.483925,,-193.482960,-193.484613,,-193.486720,,,,-193.486660,-193.486681,-193.486691,-193.486483,costly,costly,
formic-anhydride,-301.498079,-302.299806,-302.326610,,-302.326435,-302.327333,,-302.330177,,,,-302.329697,-302.329878,-302.330067,-302.329816,costly,costly,
furan,-228.628732,-229.339295,-229.367053,,-229.366213,-229.367360,,-229.369930,,,,-229.369758,-229.369815,-229.369885,costly,costly,costly,
oxetane,-191.902081,-192.502774,-192.519503,,-192.519237,-192.520217,,-192.521621,,,,-192.521553,-192.521578,-192.521610,-192.5214937,costly,costly,
pyrrole,-208.807340,-209.503130,-209.530575,,-209.529623,-209.530833,,-209.533248,,,,-209.533165,-209.533193,-209.533233,-209.5329641,costly,costly,
silole,-443.847311,-444.473664,-444.499344,,-444.498329,-444.500431,,-444.502515,,,,-444.502433,-444.502463,-444.502466,-444.502299,costly,costly,
thiophene,-551.306625,-551.976445,-552.005439,,-552.004323,-552.005778,,-552.008327,,,,-552.008219,-552.008258,-552.008299,costly,costly,costly,
beta-lactim,-245.776284,-246.528208,-246.553128,,-246.552475,-246.553582,,-246.555995,,,,-246.555857,-246.555905,-246.555954,costly,costly,costly,
clf5,-956.154850,-957.323539,-957.355196,,-957.354602,-957.356070,,-957.360589,,,,-957.359916,-957.360201,-957.360369,costly CFOUR,costly,costly,
clf3,-757.509135,-758.261246,-758.280054,,-758.279650,-758.280820,,-758.283625,,,,-758.283217,-758.283385,-758.283435,-758.283302,-758.283300,-758.283423,
pf3,-639.137951,-639.817877,-639.830447,,-639.830561,-639.830961,,-639.832649,,,,-639.832411,-639.832503,-639.832605,-639.832517,costly,costly,
hoclo2,-684.312080,-685.041618,-685.066625,,-685.066064,-685.066995,,-685.070721,,,,-685.069913,-685.070230,-685.070441,-685.070126,costly,costly,
h2no,-130.391996,-130.732450,-130.739726,-130.739696,-130.739578,-130.740134,-130.740092,-130.741160,,,,-130.741155,-130.741155,-130.741142,-130.741083,-130.741154,-130.741151,
nh2oh,-130.974213,-131.340937,-131.347889,,-131.347770,-131.348214,,-131.349286,,,,-131.349281,-131.349282,-131.349271,-131.349204,-131.349264,-131.349263,
cyclopropane,-117.046752,-117.468220,-117.480027,,-117.479776,-117.480618,,-117.481450,,,,-117.481438,-117.481443,-117.481449,-117.481380,-117.481443,-117.481452,
cyclopropene,-115.818779,-116.223905,-116.238690,,-116.238205,-116.239167,,-116.240386,,,,-116.240367,-116.240373,-116.240367,-116.240250,-116.240366,-116.240377,
ch3ph2,-381.493780,-381.771756,-381.778507,,-381.778371,-381.779334,,-381.779743,,,,-381.779729,-381.779734,-381.779734,-381.779740,-381.779763,-381.779768,
nh2f,-154.958662,-155.326679,-155.333547,,-155.333548,-155.333928,,-155.334857,,,,-155.334836,-155.334843,-155.334839,-155.334798,-155.334854,-155.334852,
cclh3,-499.107928,-499.402349,-499.408421,,-499.408331,-499.408916,,-499.409412,,,,-499.409402,-499.409406,-499.409405,-499.409402,-499.409431,-499.409434,
clno,-588.714752,-589.222905,-589.244510,,-589.243949,-589.245700,,-589.248788,,,,-589.248158,-589.248445,-589.248466,-589.248338,-589.248438,-589.248598,
tetrahedrane,-153.595495,-154.129561,-154.149817,,-154.149169,-154.149954,,-154.151657,,,,-154.151638,-154.151645,-154.151656,-154.151456,-154.151606,-154.151630,
n-butane,-157.279108,-157.859264,-157.873830,,-157.873615,-157.874807,,-157.875696,,,,-157.875678,-157.875685,-157.875699,-157.875636,costly,costly,
c2cl2,-994.642383,-995.188079,-995.207909,,-995.207244,-995.208249,,-995.210306,,,,-995.210226,-995.210258,-995.210256,-995.210071,-995.210246,-995.210277,
c2clh3,-536.951477,-537.371276,-537.384159,,-537.383766,-537.384843,,-537.385884,,,,-537.385844,-537.385860,-537.385860,-537.385802,-537.385875,-537.385888,
c2clh5,-538.142962,-538.578828,-538.589093,,-538.588926,-538.589783,,-538.590544,,,,-538.590523,-538.590531,-538.590537,-538.590511,-538.590555,-538.590564,
c2clh,-535.730997,-536.135273,-536.150413,,-536.149918,-536.150798,,-536.152319,,,,-536.152270,-536.152290,-536.152276,-536.152145,-536.152298,-536.152309,
ccl2h2,-958.025159,-958.461062,-958.471516,,-958.471307,-958.472102,,-958.473002,,,,-958.472965,-958.472979,-958.472989,-958.472973,-958.473015,-958.473028,
ccl2o,-1031.733187,-1032.338927,-1032.358902,,-1032.358653,-1032.359521,,-1032.361476,,,,-1032.361160,-1032.361284,-1032.361414,-1032.361312,-1032.361310,-1032.361412,
ccl3h,-1416.935304,-1417.515905,-1417.531433,,-1417.531102,-1417.532033,,-1417.533384,,,,-1417.533309,-1417.533339,-1417.533373,-1417.533334,costly,costly,
ccl4,-1875.836794,-1876.564456,-1876.585665,,-1876.585217,-1876.586179,,-1876.588031,,,,-1876.587909,-1876.587958,-1876.588032,-1876.587956,costly,costly,
cf2cl2,-1155.740060,-1156.543418,-1156.562505,,-1156.562455,-1156.563111,,-1156.564877,,,,-1156.564659,-1156.564743,-1156.564858,-1156.564817,costly,costly,
fno,-228.632994,-229.183444,-229.203696,,-229.203496,-229.204546,,-229.207456,,,,-229.206768,-229.207059,-229.207177,-229.206964,-229.206989,-229.207158,
ch2clf,-597.961005,-598.436074,-598.445849,,-598.445831,-598.446424,,-598.447350,,,,-598.447274,-598.447303,-598.447334,-598.447312,-598.447327,-598.447349,
chf3,-336.786082,-337.482205,-337.495025,,-337.495233,-337.495508,,-337.496923,,,,-337.496750,-337.496815,-337.496902,-337.496830,costly,costly,
clcof,-671.681653,-672.325006,-672.343566,,-672.343487,-672.344088,,-672.346012,,,,-672.345695,-672.345817,-672.345951,-672.345835,-672.345810,costly,
