molecule,shell,E_AFQMC,E_AFQMC_err
acetaldehyde,closed,-153.581313,0.000236
acetic,closed,-228.747734,0.000283
alcl3,closed,-1621.420486,0.000172
alcl,closed,-701.789294,0.0001
alf3,closed,-541.444964,0.000271
alf,closed,-341.799736,0.00024
alh3,closed,-243.759338,2.6e-05
alh,closed,-242.544439,3.6e-05
allene,closed,-116.428977,0.000238
b2h6,closed,-53.135669,6.6e-05
benzene,closed,-231.799019,0.000334
beta-lactim,closed,-246.857325,0.000336
bf3,closed,-324.191618,0.000207
bf,closed,-124.502216,0.000137
bh3,closed,-26.534151,3.1e-05
bh,closed,-25.229694,5.2e-05
bhf2,closed,-224.97748,0.000164
bn,closed,-79.264562,0.000372
borole,closed,-179.854142,0.000242
c-hcoh,closed,-114.241822,0.000229
c-hono,closed,-205.432193,0.000317
c-n2h2,closed,-110.466661,0.000234
c2,closed,-75.780954,0.000278
c2cl2,closed,-995.436236,0.000436
c2cl4,closed,-1914.961115,0.000425
c2cl6,closed,-2834.436188,0.000439
c2clh3,closed,-537.570354,0.000204
c2clh5,closed,-538.803234,0.000145
c2clh,closed,-536.311226,0.000222
c2f4,closed,-474.949319,0.000473
c2f6,closed,-674.50732,0.000539
c2h2,closed,-77.184973,0.000289
c2h3f,closed,-177.567486,0.000242
c2h4,closed,-78.433944,0.000171
c2h5f,closed,-178.797425,0.000154
c2h6,closed,-79.666848,0.000106
ccl2,closed,-957.388655,0.00023
ccl2h2,closed,-958.692553,0.000199
ccl2o,closed,-1032.625024,0.000279
ccl3h,closed,-1417.819041,0.00022
ccl4,closed,-1876.939627,0.000354
cclh3,closed,-499.562787,0.000105
cf2,closed,-237.420035,0.000315
cf2cl2,closed,-1156.962968,0.000241
cf4,closed,-437.002197,0.000236
ch2-sing,closed,-39.059216,3.6e-05
ch2c,closed,-77.115187,0.000166
ch2clf,closed,-598.691271,0.00015
ch2f2,closed,-238.697073,0.000163
ch2nh,closed,-94.468712,0.000186
ch3f,closed,-139.554262,0.000148
ch3nh2,closed,-95.689523,0.000119
ch3ph2,closed,-381.927768,0.000104
ch4,closed,-40.433381,8.9e-05
chf3,closed,-337.851048,0.000243
cis-c2f2cl2,closed,-1194.952657,0.000414
cl2,closed,-919.427954,0.00011
cl2o,closed,-994.460196,0.000301
clcn,closed,-552.39928,0.000325
clcof,closed,-672.633704,0.000325
clf3,closed,-758.700005,0.000436
clf5,closed,-958.008751,0.000528
clf,closed,-559.380648,0.00015
clno,closed,-589.4447,0.000441
cloocl,closed,-1069.504473,0.000437
co2,closed,-188.328157,0.000469
co,closed,-113.155844,0.000307
cs2,closed,-833.50931,0.000487
cs,closed,-435.691563,0.000354
cyclobutadiene,closed,-154.386398,0.000241
cyclobutane,closed,-156.903369,0.000218
cyclobutene,closed,-155.670079,0.000283
cyclopentadiene,closed,-193.728875,0.000335
cyclopropane,closed,-117.662393,0.000152
cyclopropene,closed,-116.39304,0.000244
dioxetan2one,closed,-302.641842,0.000501
dioxetane,closed,-228.662956,0.000284
dioxirane,closed,-189.355098,0.000388
dithiotane,closed,-873.912862,0.000295
ethanol,closed,-154.78737,0.000159
f2,closed,-199.297125,0.000197
f2co,closed,-312.643387,0.000343
f2o,closed,-274.350174,0.000399
fccf,closed,-275.392531,0.000289
fno,closed,-229.428249,0.000582
foof,closed,-349.410121,0.000503
formamide,closed,-169.637622,0.000295
formic-anhydride,closed,-302.646005,0.000639
formic,closed,-189.499181,0.000274
furan,closed,-229.630667,0.000314
glyoxal,closed,-227.485486,0.000404
h2,closed,-1.170851,4e-06
h2co,closed,-114.331218,0.00026
h2o,closed,-76.328823,0.0001
h2s,closed,-398.931839,6.9e-05
hccf,closed,-176.293575,0.000298
hcl,closed,-460.33545,5.2e-05
hclo4,closed,-760.510828,0.000701
hcn,closed,-93.274322,0.000271
hcno,closed,-168.320003,0.000548
hcof,closed,-213.496469,0.000326
hf,closed,-100.336533,0.000101
hnc,closed,-93.250118,0.000282
hnco,closed,-168.431998,0.000359
hnnn,closed,-164.536204,0.000372
hno,closed,-130.297197,0.000266
hocl,closed,-535.393806,0.000237
hoclo2,closed,-685.46498,0.000515
hoclo,closed,-610.405933,0.000357
hocn,closed,-168.392714,0.000261
hof,closed,-175.332663,0.000183
honc,closed,-168.299608,0.000338
hooh,closed,-151.355197,0.000211
ketene,closed,-152.356058,0.000246
methanol,closed,-115.545546,0.000209
n-butane,closed,-158.140833,0.000181
n-pentane,closed,-197.378249,0.0002
n2,closed,-109.374106,0.00028
n2h4,closed,-111.692253,0.000132
n2o4,closed,-409.625747,0.000957
n2o,closed,-184.40631,0.000783
nccn,closed,-185.355723,0.000499
nh2cl,closed,-515.559712,0.000145
nh2f,closed,-155.521824,0.000173
nh2oh,closed,-131.533281,0.000153
nh3,closed,-56.468391,7.5e-05
o3,closed,-225.135964,0.000428
ocs,closed,-510.919717,0.000383
oxadiazole,closed,-261.640262,0.000396
oxetane,closed,-192.779099,0.000271
oxirane,closed,-153.538902,0.000224
oxirene,closed,-152.230733,0.000292
p2,closed,-681.80884,0.000256
p4,closed,-1363.694648,0.000359
pf3,closed,-640.224608,0.000234
pf5,closed,-839.757066,0.000285
ph3,closed,-342.687673,5.5e-05
propane,closed,-118.903713,0.000188
propene,closed,-117.674966,0.000225
propyne,closed,-116.430842,0.000303
pyrrole,closed,-209.786934,0.000313
s2o,closed,-870.573084,0.000309
s3,closed,-1193.195195,0.000225
s4-c2v,closed,-1590.942421,0.000325
sf6,closed,-996.07737,0.000433
si2h6,closed,-581.686209,7.6e-05
sif4,closed,-688.287662,0.000288
sih3f,closed,-390.636539,0.000148
sih4,closed,-291.431371,3.5e-05
silole,closed,-444.750553,0.000362
sio,closed,-364.194438,0.000477
so2,closed,-547.971339,0.000466
so3,closed,-623.063545,0.000476
t-butadiene,closed,-155.689264,0.000258
t-hcoh,closed,-114.249268,0.00021
t-hono,closed,-205.432482,0.000396
t-n2h2,closed,-110.474935,0.000237
tetrahedrane,closed,-154.341288,0.000269
thiophene,closed,-552.257911,0.000299
trans-c2f2cl2,closed,-1194.953806,0.000533
allyl,open,-117.027273,0.000138
b2,open,-49.296666,0.000187
bn3pi,open,-79.267342,0.000233
c-hooo,open,-225.770475,0.000404
cch,open,-76.467011,0.000218
cf,open,-137.604762,0.000166
ch2-trip,open,-39.07572,2.5e-05
ch2ch,open,-77.749238,0.000104
ch2nh2,open,-95.032658,0.000128
ch3,open,-39.75746,3.7e-05
ch3nh,open,-95.02344,0.000105
ch,open,-38.409399,4.3e-05
clo3,open,-684.79637,0.000454
clo,open,-534.735581,0.000168
cloo,open,-609.804901,0.00031
cn,open,-92.567197,0.000424
cyclopropyl,open,-116.980788,0.000162
fo2,open,-249.764534,0.000339
h2ccn,open,-131.862903,0.000246
h2cn,open,-93.821549,0.000156
h2no,open,-130.901823,0.000179
hcnh,open,-93.806774,0.000235
hco,open,-113.682631,0.000247
hoo,open,-150.711657,0.000217
hs,open,-398.285708,3.8e-05
n2h,open,-109.865271,0.000225
nh2,open,-55.790746,5.3e-05
nh,open,-55.139485,2.9e-05
no2,open,-204.798262,0.000352
no,open,-129.716776,0.000262
o2,open,-150.128188,0.000199
oclo,open,-609.779954,0.000352
of,open,-174.670808,0.000337
oh,open,-75.636265,5.1e-05
s2,open,-795.456002,0.000158
sif,open,-388.767124,0.000201
sih,open,-289.545468,3.2e-05
so,open,-472.810139,0.000227
ssh,open,-796.048582,0.000132
t-hooo,open,-225.770438,0.000368
