Molecule                                  E_HF (Eh)          E_CCSD (Eh)    E_UHF-UCCSD(T) (Eh)    E_UHF-UCCSDT (Eh)      E_CCSDT(Q) (Eh)        E_AFQMC (Eh)  E_AFQMC ERR (Eh)
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
acetaldehyde                           -152.974008         -153.556723           -153.580547         -153.580885         -153.582169         -153.581313          0.000236
acetic                                 -227.901973         -228.713196           -228.746380         -228.746503         -228.748292         -228.747734          0.000283
alcl                                   -701.510641         -701.777406           -701.788261         -701.788917         -701.789480         -701.789294          0.000100
alcl3                                 -1620.719237        -1621.389975          -1621.417750        -1621.419063        -1621.420314        -1621.420486          0.000172
alf                                    -341.470349         -341.789811           -341.799147         -341.799299         -341.799692         -341.799736          0.000240
alf3                                   -540.593633         -541.420593           -541.443533         -541.443601         -541.444488         -541.444964          0.000271
alh                                    -242.461769         -242.542882           -242.544281         -242.544659         -242.544706         -242.544439          0.000036
alh3                                   -243.643958         -243.757398           -243.758915         -243.759333         -243.759369         -243.759338          0.000026
allene                                 -115.904734         -116.403991           -116.427969         -116.428394         -116.429792         -116.428977          0.000238
allyl                                  -116.510959         -117.004462           -117.025157         -117.026556         -117.027661         -117.027273          0.000138
b2                                      -49.091737          -49.278861            -49.296011          -49.297422          -49.299275          -49.296666          0.000187
b2h6                                    -52.834427          -53.125740            -53.134718          -53.135628          -53.135863          -53.135669          0.000066
benzene                                -230.778469         -231.745322           -231.796894         -231.796322         -231.799650         -231.799019          0.000334
beta-lactim                            -245.870755         -246.813214           -246.855864         -246.855573         -246.858143         -246.857325          0.000336
bf                                     -124.155694         -124.490904           -124.501894         -124.502138         -124.502625         -124.502216          0.000137
bf3                                    -323.325973         -324.166537           -324.190943         -324.191012         -324.191901         -324.191618          0.000207
bh                                      -25.129903          -25.227265            -25.229276          -25.229714          -25.229781          -25.229694          0.000052
bh3                                     -26.400001          -26.531281            -26.533722          -26.534143          -26.534182          -26.534151          0.000031
bhf2                                   -224.353798         -224.959335           -224.976894         -224.977092         -224.977698         -224.977480          0.000164
bn                                      -78.905564          -79.234008            -79.267875          -79.264715          -79.269576          -79.264562          0.000372
bn3pi                                   -79.014149          -79.253986            -79.266929          -79.268488          -79.269653          -79.267342          0.000233
borole                                 -179.066188         -179.814276           -179.852257         -179.852624         -179.855148         -179.854142          0.000242
c-hcoh                                 -113.826912         -114.225117           -114.240729         -114.241234         -114.242066         -114.241822          0.000229
c-hono                                 -204.722113         -205.399425           -205.431715         -205.431657         -205.434371         -205.432193          0.000317
c-hooo                                 -225.021249         -225.734141           -225.767247         -225.768199         -225.771870         -225.770475          0.000404
c-n2h2                                 -110.028154         -110.447113           -110.466235         -110.466200         -110.467638         -110.466661          0.000234
c2                                      -75.401449          -75.749509            -75.783002          -75.780882          -75.786080          -75.780954          0.000278
c2cl2                                  -994.697143         -995.397756           -995.434020         -995.434225         -995.436810         -995.436236          0.000436
c2cl4                                 -1913.780149        -1914.901122          -1914.957367        -1914.957925        -1914.961453        -1914.961115          0.000425
c2cl6                                 -2832.808454        -2834.355905          -2834.432242        -2834.432975             missing        -2834.436188          0.000439
c2clh                                  -535.773838         -536.284118           -536.310394         -536.310550         -536.312430         -536.311226          0.000222
c2clh3                                 -537.000595         -537.544898           -537.569487         -537.570076         -537.571426         -537.570354          0.000204
c2clh5                                 -538.198546         -538.779194           -538.801679         -538.802441         -538.803381         -538.803234          0.000145
c2f4                                   -473.603017         -474.902664           -474.948346         -474.948480         -474.950626         -474.949319          0.000473
c2f6                                   -672.644583         -674.446448           -674.504948         -674.505020             missing         -674.507320          0.000539
c2h2                                    -76.848675          -77.168701            -77.185059          -77.185115          -77.186311          -77.184973          0.000289
c2h3f                                  -176.953142         -177.544013           -177.566467         -177.566849         -177.567920         -177.567486          0.000242
c2h4                                    -78.063271          -78.418364            -78.433128          -78.433557          -78.434283          -78.433944          0.000171
c2h5f                                  -178.148989         -178.776222           -178.796545         -178.797051         -178.797740         -178.797425          0.000154
c2h6                                    -79.259263          -79.652930            -79.666025          -79.666585          -79.666994          -79.666848          0.000106
cch                                     -76.177215          -76.451336            -76.466092          -76.467588          -76.468798          -76.467011          0.000218
ccl2                                   -956.806406         -957.358231           -957.386728         -957.387990         -957.389818         -957.388655          0.000230
ccl2h2                                 -958.077340         -958.665985           -958.690764         -958.691596         -958.692783         -958.692553          0.000199
ccl2o                                 -1031.800187        -1032.585484          -1032.623520        -1032.624038        -1032.626354        -1032.625024          0.000279
ccl3h                                 -1417.000263        -1417.781396          -1417.816736        -1417.817628        -1417.819464        -1417.819041          0.000220
ccl4                                  -1875.914035        -1876.890138          -1876.936671        -1876.937487        -1876.940051        -1876.939627          0.000354
cclh3                                  -499.147474         -499.546701           -499.561669         -499.562328         -499.562947         -499.562787          0.000105
cf                                     -137.224831         -137.591536           -137.604553         -137.605136         -137.605678         -137.604762          0.000166
cf2                                    -236.754956         -237.396378           -237.419076         -237.419479         -237.420539         -237.420035          0.000315
cf2cl2                                -1155.856561        -1156.919835          -1156.961080        -1156.961637        -1156.963491        -1156.962968          0.000241
cf4                                    -435.815295         -436.965430           -437.001096         -437.001053         -437.002384         -437.002197          0.000236
ch                                      -38.281237          -38.405685            -38.408924          -38.409568          -38.409643          -38.409399          0.000043
ch2-sing                                -38.892116          -39.053811            -39.058523          -39.059339          -39.059525          -39.059216          0.000036
ch2-trip                                -38.937517          -39.071922            -39.075217          -39.075708          -39.075777          -39.075720          0.000025
ch2c                                    -76.793427          -77.100154            -77.114250          -77.115053          -77.115852          -77.115187          0.000166
ch2ch                                   -77.419799          -77.734524            -77.748034          -77.749270          -77.749995          -77.749238          0.000104
ch2clf                                 -598.032846         -598.667539           -598.690220         -598.690804         -598.691739         -598.691271          0.000150
ch2f2                                  -237.994463         -238.675361           -238.695851         -238.696090         -238.696807         -238.697073          0.000163
ch2nh                                   -94.066625          -94.451534            -94.468046          -94.468243          -94.469237          -94.468712          0.000186
ch2nh2                                  -94.629980          -95.018213            -95.031970          -95.032475          -95.033042          -95.032658          0.000128
ch3                                     -39.577210          -39.752324            -39.756889          -39.757365          -39.757470          -39.757460          0.000037
ch3f                                   -139.094111         -139.540571           -139.553586         -139.553915         -139.554331         -139.554262          0.000148
ch3nh                                   -94.630275          -95.009684            -95.022484          -95.023176          -95.023638          -95.023440          0.000105
ch3nh2                                  -95.252386          -95.674421            -95.688831          -95.689201          -95.689759          -95.689523          0.000119
ch3ph2                                 -381.538522         -381.912618           -381.926480         -381.927443         -381.928024         -381.927768          0.000104
ch4                                     -40.213031          -40.426684            -40.432739          -40.433143          -40.433282          -40.433381          0.000089
chf3                                   -336.906512         -337.822225           -337.850379         -337.850495         -337.851524         -337.851048          0.000243
cis-c2f2cl2                           -1193.688200        -1194.898388          -1194.949336        -1194.949827        -1194.952609        -1194.952657          0.000414
cl2                                    -918.998709         -919.409125           -919.426459         -919.427271         -919.428251         -919.427954          0.000110
cl2o                                   -993.777434         -994.428709           -994.458304         -994.458798         -994.461076         -994.460196          0.000301
clcn                                   -551.829829         -552.369630           -552.397946         -552.397920         -552.400259         -552.399280          0.000325
clcof                                  -671.767488         -672.596913           -672.631990         -672.632230         -672.634174         -672.633704          0.000325
clf                                    -558.900762         -559.363318           -559.379740         -559.380212         -559.381173         -559.380648          0.000150
clf3                                   -757.657803         -758.659574           -758.698453         -758.698865         -758.701506         -758.700005          0.000436
clf5                                   -956.398342         -957.944593           -958.006445         -958.006510         -958.010612         -958.008751          0.000528
clno                                   -588.767053         -589.407764           -589.443486         -589.444209         -589.447770         -589.444700          0.000441
clo                                    -534.303297         -534.717153           -534.734119         -534.735234         -534.736433         -534.735581          0.000168
clo3                                   -683.833077         -684.748209           -684.795169         -684.794962         -684.799072         -684.796370          0.000454
cloo                                   -609.075878         -609.760819           -609.800530         -609.802474         -609.808152         -609.804901          0.000310
cloocl                                -1068.565429        -1069.459593          -1069.502455        -1069.502774        -1069.506531        -1069.504473          0.000437
cn                                      -92.234684          -92.547223            -92.565704          -92.568056          -92.570420          -92.567197          0.000424
co                                     -112.779950         -113.138533           -113.155538         -113.155673         -113.156797         -113.155844          0.000307
co2                                    -187.706665         -188.298624           -188.327164         -188.326951         -188.328946         -188.328157          0.000469
cs                                     -435.352352         -435.671399           -435.692702         -435.693262         -435.694973         -435.691563          0.000354
cs2                                    -832.966568         -833.472703           -833.507501         -833.507933         -833.510999         -833.509310          0.000487
cyclobutadiene                         -153.694574         -154.349525           -154.384853         -154.385098         -154.387759         -154.386398          0.000241
cyclobutane                            -156.149172         -156.872428           -156.901711         -156.902140         -156.903402         -156.903369          0.000218
cyclobutene                            -154.952276         -155.637332           -155.668748         -155.668902         -155.670641         -155.670079          0.000283
cyclopentadiene                        -192.856879         -193.685743           -193.727160         -193.727091         -193.729687         -193.728875          0.000335
cyclopropane                           -117.100380         -117.639779           -117.661411         -117.661751         -117.662704         -117.662393          0.000152
cyclopropene                           -115.864432         -116.368330           -116.392324         -116.392365         -116.393828         -116.393040          0.000244
cyclopropyl                            -116.456208         -116.958830           -116.979387         -116.979982         -116.980907         -116.980788          0.000162
dioxetan2one                           -301.588789         -302.594520           -302.639219         -302.638817         -302.641467         -302.641842          0.000501
dioxetane                              -227.817324         -228.629542           -228.661576         -228.661577         -228.663158         -228.662956          0.000284
dioxirane                              -188.676993         -189.325181           -189.354273         -189.353883         -189.356366         -189.355098          0.000388
dithiotane                             -873.154653         -873.875410           -873.910523         -873.911213         -873.913323         -873.912862          0.000295
ethanol                                -154.141858         -154.764236           -154.786024         -154.786438         -154.787319         -154.787370          0.000159
f2                                     -198.751914         -199.278095           -199.296107         -199.296098         -199.297684         -199.297125          0.000197
f2co                                   -311.737514         -312.610278           -312.642297         -312.642213         -312.643840         -312.643387          0.000343
f2o                                    -273.557698         -274.319652           -274.349264         -274.349324         -274.351847         -274.350174          0.000399
fccf                                   -274.566636         -275.359904           -275.391556         -275.391490         -275.393417         -275.392531          0.000289
fno                                    -228.706033         -229.395824           -229.428766         -229.428967         -229.431853         -229.428249          0.000582
fo2                                    -248.981441         -249.721952           -249.761031         -249.762134         -249.767464         -249.764534          0.000339
foof                                   -348.332438         -349.356655           -349.406778         -349.407087         -349.413121         -349.410121          0.000503
formamide                              -169.000848         -169.611037           -169.636650         -169.636836         -169.638272         -169.637622          0.000295
formic                                 -188.840732         -189.472379           -189.498408         -189.498434         -189.499968         -189.499181          0.000274
formic-anhydride                       -301.597062         -302.599901           -302.645106         -302.645011         -302.647795         -302.646005          0.000639
furan                                  -228.706432         -229.584965           -229.629045         -229.628501         -229.631416         -229.630667          0.000314
glyoxal                                -226.675409         -227.449326           -227.484337         -227.484433         -227.486809         -227.485486          0.000404
h2                                       -1.132945           -1.170854             -1.170854           -1.170854           -1.170854           -1.170851          0.000004
h2ccn                                  -131.351644         -131.837395           -131.861015         -131.861872         -131.863750         -131.862903          0.000246
h2cn                                    -93.465885          -93.805363            -93.819991          -93.821186          -93.822077          -93.821549          0.000156
h2co                                   -113.911265         -114.314398           -114.330861         -114.331033         -114.332046         -114.331218          0.000260
h2no                                   -130.447462         -130.884904           -130.900718         -130.901007         -130.901967         -130.901823          0.000179
h2o                                     -76.056531          -76.320886            -76.328307          -76.328392          -76.328745          -76.328823          0.000100
h2s                                    -398.712691         -398.923265           -398.930878         -398.931562         -398.931883         -398.931839          0.000069
hccf                                   -175.712185         -176.268886           -176.292994         -176.292977         -176.294542         -176.293575          0.000298
hcl                                    -460.106578         -460.327152           -460.334661         -460.335159         -460.335452         -460.335450          0.000052
hclo4                                  -759.284473         -760.453426           -760.507936         -760.507163         -760.510781         -760.510828          0.000701
hcn                                     -92.907334          -93.255956            -93.273875          -93.273718          -93.275314          -93.274322          0.000271
hcnh                                    -93.436495          -93.789593            -93.806150          -93.806899          -93.808047          -93.806774          0.000235
hcno                                   -167.693562         -168.286991           -168.319879         -168.319216         -168.322394         -168.320003          0.000548
hco                                    -113.292146         -113.665709           -113.682668         -113.683034         -113.684172         -113.682631          0.000247
hcof                                   -212.831828         -213.470924           -213.495638         -213.495725         -213.497082         -213.496469          0.000326
hf                                     -100.057672         -100.329919           -100.336150         -100.336184         -100.336424         -100.336533          0.000101
hnc                                     -92.891681          -93.232529            -93.249791          -93.249956          -93.251079          -93.250118          0.000282
hnco                                   -167.828407         -168.402208           -168.431001         -168.430938         -168.432939         -168.431998          0.000359
hnnn                                   -163.901828         -164.502503           -164.536814         -164.536145         -164.539682         -164.536204          0.000372
hno                                    -129.836027         -130.276913           -130.296680         -130.296649         -130.298376         -130.297197          0.000266
hocl                                   -534.919258         -535.374705           -535.392498         -535.392877         -535.394019         -535.393806          0.000237
hoclo                                  -609.670182         -610.371974           -610.404710         -610.404930         -610.407753         -610.405933          0.000357
hoclo2                                 -684.474484         -685.416628           -685.462276         -685.461958         -685.465598         -685.464980          0.000515
