Molecule             Shell               E_HF (Eh)          E_CCSD (Eh)    E_AFQMC (Eh) E_AFQMC ERR (Eh)    nelec   norb  Runtime (s)
-------------------------------------------------------------------------------------------------------------------------------------
allyl                Open          -116.5109589910      -117.0044623979     -117.027273         0.000138    (9,8)    132      3728.15
b2                   Open           -49.1504333204       -49.2806777116      -49.296666         0.000187    (4,2)     58       671.56
bn3pi                Open           -79.0141486904       -79.2539857383      -79.267342         0.000233    (5,3)     58       507.48
c-hooo               Open          -225.0269516335      -225.7341776325     -225.770475         0.000404   (10,9)     96      1932.22
cch                  Open           -76.1772147820       -76.4513360934      -76.467011         0.000218    (5,4)     67      1436.43
cf                   Open          -137.2248308932      -137.5915358177     -137.604762         0.000166    (6,5)     58       531.41
ch                   Open           -38.2846902159       -38.4052055233      -38.409399         0.000043    (3,2)     38       164.96
ch2-trip             Open           -38.9375167082       -39.0719221308      -39.075720         0.000025    (4,2)     47       279.71
ch2ch                Open           -77.4197992188       -77.7345240449      -77.749238         0.000104    (6,5)     85      1517.56
ch2nh2               Open           -94.6299800448       -95.0182126903      -95.032658         0.000128    (7,6)     94      1976.53
ch3                  Open           -39.5772100967       -39.7523241717      -39.757460         0.000037    (4,3)     56       571.74
ch3nh                Open           -94.6302753408       -95.0096843428      -95.023440         0.000105    (7,6)     94      1682.77
clo                  Open          -534.3032968676      -534.7171531503     -534.735581         0.000168    (7,6)     58      1061.90
clo3                 Open          -683.8330765219      -684.7482091809     -684.796370         0.000454  (13,12)    116      3038.95
cloo                 Open          -609.1259851915      -609.7655832095     -609.804901         0.000310   (10,9)     87      1845.77
cn                   Open           -92.2346840970       -92.5472235330      -92.567197         0.000424    (5,4)     58       513.18
cyclopropyl          Open          -116.4562075227      -116.9588296853     -116.980788         0.000162    (9,8)    132      3895.24
fo2                  Open          -249.0342008925      -249.7226416622     -249.764534         0.000339   (10,9)     87      1843.31
h2ccn                Open          -131.3516435635      -131.8373945440     -131.862903         0.000246    (8,7)    105      2401.43
h2cn                 Open           -93.4658849021       -93.8053629492      -93.821549         0.000156    (6,5)     76       643.80
h2no                 Open          -130.4474615168      -130.8849043342     -130.901823         0.000179    (7,6)     76       630.00
hcnh                 Open           -93.4364950313       -93.7895931349      -93.806774         0.000235    (6,5)     76       602.81
hco                  Open          -113.2921461577      -113.6657091757     -113.682631         0.000247    (6,5)     67      1170.70
hoo                  Open          -150.2363394134      -150.6938250966     -150.711657         0.000217    (7,6)     67      1211.90
hs                   Open          -398.1048842095      -398.2788490725     -398.285708         0.000038    (4,3)     38       189.37
n2h                  Open          -109.4675797606      -109.8463657584     -109.865271         0.000225    (6,5)     67      1412.84
nh                   Open           -54.9809965399       -55.1353140103      -55.139485         0.000029    (4,2)     38       212.28
nh2                  Open           -55.5855101495       -55.7847255517      -55.790746         0.000053    (4,3)     47       281.19
no                   Open          -129.2963526789      -129.6983523242     -129.716776         0.000262    (6,5)     58       517.22
no2                  Open          -204.1095098631      -204.7642115300     -204.798262         0.000352    (9,8)     87      1737.38
o2                   Open          -149.6751165755      -150.1111909795     -150.128188         0.000199    (7,5)     58       567.94
oclo                 Open          -609.0650467104      -609.7444786491     -609.779954         0.000352   (10,9)     87      1828.63
of                   Open          -174.1923151563      -174.6539266085     -174.670808         0.000337    (7,6)     58       591.26
oh                   Open           -75.4189523934       -75.6308657114      -75.636265         0.000051    (4,3)     38       179.99
s2                   Open          -795.0964372682      -795.4358969796     -795.456002         0.000158    (7,5)     58       527.60
sif                  Open          -388.4150542794      -388.7553168652     -388.767124         0.000201    (6,5)     58       540.64
sih                  Open          -289.4388771361      -289.5418899923     -289.545468         0.000032    (3,2)     38       171.62
so                   Open          -472.4028208578      -472.7910872071     -472.810139         0.000227    (7,5)     58       532.69
ssh                  Open          -795.6691960940      -796.0292195880     -796.048582         0.000132    (7,6)     67      1242.16
t-hooo               Open          -225.0331803265      -225.7306398222     -225.770438         0.000368   (10,9)     96      1957.75
