Molecule                                  E_HF (Eh)          E_CCSD (Eh)    E_UHF-UCCSD(T) (Eh)    E_UHF-UCCSDT (Eh)      E_CCSDT(Q) (Eh)
-----------------------------------------------------------------------------------------------------------------------------------------
acetaldehyde                       -152.9740080000     -153.5567230000       -153.5805470000     -153.5808850000     -153.5821690000
acetic                             -227.9019730000     -228.7131960000       -228.7463800000     -228.7465030000     -228.7482920000
al                                 -241.8790460000     -241.9300600000       -241.9312040000     -241.9316760000     -241.9316760000
alcl                               -701.5106410000     -701.7774060000       -701.7882610000     -701.7889170000     -701.7894800000
alcl3                             -1620.7192370000    -1621.3899750000      -1621.4177500000    -1621.4190630000    -1621.4203140000
alf                                -341.4703490000     -341.7898110000       -341.7991470000     -341.7992990000     -341.7996920000
alf3                               -540.5936330000     -541.4205930000       -541.4435330000     -541.4436010000     -541.4444880000
alh                                -242.4617690000     -242.5428820000       -242.5442810000     -242.5446590000     -242.5447060000
alh3                               -243.6439580000     -243.7573980000       -243.7589150000     -243.7593330000     -243.7593690000
allene                             -115.9047340000     -116.4039910000       -116.4279690000     -116.4283940000     -116.4297920000
allyl                              -116.5109590000     -117.0044620000       -117.0251570000     -117.0265560000     -117.0276610000
b                                   -24.5320680000      -24.5967860000        -24.5981010000      -24.5985210000      -24.5985210000
b2                                  -49.0917370000      -49.2788610000        -49.2960110000      -49.2974220000      -49.2992750000
b2h6                                -52.8344270000      -53.1257400000        -53.1347180000      -53.1356280000      -53.1358630000
benzene                            -230.7784690000     -231.7453220000       -231.7968940000     -231.7963220000     -231.7996500000
beta-lactim                        -245.8707550000     -246.8132140000       -246.8558640000     -246.8555730000     -246.8581430000
bf                                 -124.1556940000     -124.4909040000       -124.5018940000     -124.5021380000     -124.5026250000
bf3                                -323.3259730000     -324.1665370000       -324.1909430000     -324.1910120000     -324.1919010000
bh                                  -25.1299030000      -25.2272650000        -25.2292760000      -25.2297140000      -25.2297810000
bh3                                 -26.4000010000      -26.5312810000        -26.5337220000      -26.5341430000      -26.5341820000
bhf2                               -224.3537980000     -224.9593350000       -224.9768940000     -224.9770920000     -224.9776980000
bn                                  -78.9055640000      -79.2340080000        -79.2678750000      -79.2647150000      -79.2695760000
bn3pi                               -79.0141490000      -79.2539860000        -79.2669290000      -79.2684880000      -79.2696530000
borole                             -179.0661880000     -179.8142760000       -179.8522570000     -179.8526240000     -179.8551480000
c                                   -37.6915690000      -37.7787250000        -37.7807620000      -37.7812260000      -37.7812590000
c-hcoh                             -113.8269120000     -114.2251170000       -114.2407290000     -114.2412340000     -114.2420660000
c-hono                             -204.7221130000     -205.3994250000       -205.4317150000     -205.4316570000     -205.4343710000
c-hooo                             -225.0212490000     -225.7341410000       -225.7672470000     -225.7681990000     -225.7718700000
c-n2h2                             -110.0281540000     -110.4471130000       -110.4662350000     -110.4662000000     -110.4676380000
c2                                  -75.4014490000      -75.7495090000        -75.7830020000      -75.7808820000      -75.7860800000
c2cl2                              -994.6971430000     -995.3977560000       -995.4340200000     -995.4342250000     -995.4368100000
c2cl4                             -1913.7801490000    -1914.9011220000      -1914.9573670000    -1914.9579250000    -1914.9614530000
c2cl6                             -2832.8084540000    -2834.3559050000      -2834.4322420000    -2834.4329750000             missing
c2clh                              -535.7738380000     -536.2841180000       -536.3103940000     -536.3105500000     -536.3124300000
c2clh3                             -537.0005950000     -537.5448980000       -537.5694870000     -537.5700760000     -537.5714260000
c2clh5                             -538.1985460000     -538.7791940000       -538.8016790000     -538.8024410000     -538.8033810000
c2f4                               -473.6030170000     -474.9026640000       -474.9483460000     -474.9484800000     -474.9506260000
c2f6                               -672.6445830000     -674.4464480000       -674.5049480000     -674.5050200000             missing
c2h2                                -76.8486750000      -77.1687010000        -77.1850590000      -77.1851150000      -77.1863110000
c2h3f                              -176.9531420000     -177.5440130000       -177.5664670000     -177.5668490000     -177.5679200000
c2h4                                -78.0632710000      -78.4183640000        -78.4331280000      -78.4335570000      -78.4342830000
c2h5f                              -178.1489890000     -178.7762220000       -178.7965450000     -178.7970510000     -178.7977400000
c2h6                                -79.2592630000      -79.6529300000        -79.6660250000      -79.6665850000      -79.6669940000
cch                                 -76.1772150000      -76.4513360000        -76.4660920000      -76.4675880000      -76.4687980000
ccl2                               -956.8064060000     -957.3582310000       -957.3867280000     -957.3879900000     -957.3898180000
