,,,,,,,,,,,,,,,,,
,"VTZ(f,p)",,,,,,,,,,,,,,,,
,HF,CCSD,UHF-UCCSD(T),RHF-UCCSD(T),CCSD(T)Λ,UHF-UCCSDT,RHF-UCCSDT,CCSDT(Q),CCSDT-3,CCSDTQ-3,CCSDT(Q)/A,CCSDT(Q)/B,CCSDT(Q)Λ,CCSDTQ,CCSDTQ(5),ECCSDTQ(5)Λ,ECCSDTQ5
h,-0.499810,-0.499810,-0.499810,-0.499810,-0.499810,-0.499810,-0.499810,-0.499810,-0.499810,,-0.499810,-0.499810,-0.499810,-0.499810,-0.499810,-0.499810,-0.499810
b,-24.532068,-24.596786,-24.598101,-24.598079,-24.598015,-24.598521,-24.598498,-24.598521,-24.597877,,-24.598521,-24.598521,-24.598521,-24.598521,-24.598521,-24.598521,-24.598521
c,-37.691569,-37.778725,-37.780762,-37.780695,-37.780674,-37.781226,-37.781157,-37.781259,-37.780395,,-37.781259,-37.781259,-37.781258,-37.781267,-37.781267,-37.781267,-37.781267
n,-54.400686,-54.512432,-54.514707,-54.514572,-54.514646,-54.515027,-54.514898,-54.515066,-54.514272,,-54.515065,-54.515065,-54.515065,-54.515069,-54.515069,-54.515069,-54.515069
o,-74.811757,-74.971050,-74.973962,-74.973863,-74.973914,-74.974252,-74.974151,-74.974303,-74.973870,,-74.974300,-74.974301,-74.974303,-74.974302,-74.974302,-74.974303,-74.974303
f,-99.405525,-99.616771,-99.620361,-99.620309,-99.620336,-99.620540,-99.620484,-99.620606,-99.620234,,-99.620600,-99.620602,-99.620607,-99.620599,-99.620600,-99.620601,-99.620600
al,-241.879046,-241.930060,-241.931204,-241.931175,-241.931131,-241.931676,-241.931660,-241.931676,-241.930975,,-241.931676,-241.931676,-241.931676,-241.931676,-241.931676,-241.931676,-241.931676
si,-288.856428,-288.930676,-288.933123,-288.933070,-288.932982,-288.933867,-288.933814,-288.933926,-288.932538,,-288.933924,-288.933925,-288.933922,-288.933941,-288.933941,-288.933941,-288.933941
p,-340.716306,-340.817237,-340.821020,-340.820953,-340.820832,-340.821786,-340.821721,-340.821901,-340.820029,,-340.821901,-340.821901,-340.821897,-340.821920,-340.821921,-340.821922,-340.821922
s,-397.509269,-397.648741,-397.653349,-397.653305,-397.653171,-397.654105,-397.654047,-397.654225,-397.653139,,-397.654221,-397.654222,-397.654223,-397.654236,-397.654238,-397.654240,-397.654240
cl,-459.485434,-459.666281,-459.671808,-459.671792,-459.671634,-459.672437,-459.672398,-459.672589,-459.671510,,-459.672585,-459.672586,-459.672589,-459.672595,-459.672598,-459.672601,-459.672601
,,,,,,,,,,,,,,,12,,
,200,200,200,40,137,200,40,198,137,,132,132,157,65,53,53,23
,0,0,0,58,63,0,,2,,,63,63,43,63,63,63,63
,63 /63,63 /63,63 /63,5 /63,0 /63,63 /63,,61 /63,0 /63,,0 /63,0 /63,20 /63,0 /63,0 /63,0 /63,0 /63
cyclobutene,-154.952276,-155.637332,-155.668748,,,-155.668902,,-155.670641,,,,,missing,,,,
t-butadiene,-154.976547,-155.655328,-155.687258,,,-155.687757,,-155.689620,,,,,missing,,,,
cyclobutane,-156.149172,-156.872428,-156.901711,,,-156.902140,,-156.903402,,,,,missing,,,,
n-pentane,-196.401936,-197.340767,-197.376129,,,-197.377011,,-197.3783469,,,,,missing,,,,
benzene,-230.778469,-231.745322,-231.796894,,,-231.796322,,-231.799650,,,,,missing,,,,
hclo4,-759.284473,-760.453426,-760.507936,,,-760.507163,,-760.510781,,,,,missing,,,,
c2f6,-672.644583,-674.446448,-674.504948,,,-674.505020,,costly,,,,,missing,,,,
c2cl6,-2832.808454,-2834.355905,-2834.432242,,,-2834.432975,,costly,,,,,missing,,,,
n2o4,-408.191109,-409.545315,-409.624904,,,-409.623139,,-409.630469,,,,,missing,,,,
cloocl,-1068.565429,-1069.459593,-1069.502455,,,-1069.502774,,-1069.506531,,,,,missing,,,,
clo3,-683.833077,-684.748209,-684.795169,-684.7954374,,-684.794962,-684.7947807,-684.799072,,,,,missing,,,,
hoclo,-609.670182,-610.371974,-610.404710,,,-610.404930,,-610.407753,,,,,missing,,,,
pf5,-838.307432,-839.713415,-839.755500,,,-839.755499,,-839.757134,,,,,missing,,,,
sf6,-994.300529,-996.020081,-996.075316,,,-996.075110,,-996.077436,,,,,missing,,,,
oxadiazole,-260.635491,-261.586556,-261.639019,,,-261.637673,,-261.642244,,,,,-261.642111,,,,
dioxetan2one,-301.588789,-302.594520,-302.639219,,,-302.638817,,-302.641467,,,,,missing,,,,
dioxetane,-227.817324,-228.629542,-228.661576,,,-228.661577,,-228.663158,,,,,missing,,,,
dithiotane,-873.154653,-873.875410,-873.910523,,,-873.911213,,-873.913323,,,,,missing,,,,
borole,-179.066188,-179.814276,-179.852257,,,-179.852624,,-179.855148,,,,,missing,,,,
c2cl4,-1913.780149,-1914.901122,-1914.957367,,,-1914.957925,,-1914.961453,,,,,missing,,,,
c2f4,-473.603017,-474.902664,-474.948346,,,-474.948480,,-474.950626,,,,,missing,,,,
cis-c2f2cl2,-1193.688200,-1194.898388,-1194.949336,,,-1194.949827,,-1194.952609,,,,,missing,,,,
trans-c2f2cl2,-1193.690028,-1194.899799,-1194.950675,,,-1194.951164,,-1194.953931,,,,,missing,,,,
cyclopentadiene,-192.856879,-193.685743,-193.727160,,,-193.727091,,-193.729687,,,,,missing,,,,
formic-anhydride,-301.597062,-302.599901,-302.645106,,,-302.645011,,-302.647795,,,,,costly,,,,
furan,-228.706432,-229.584965,-229.629045,,,-229.628501,,-229.631416,,,,,missing,,,,
oxetane,-191.978795,-192.747203,-192.777947,,,-192.778217,,-192.779656,,,,,missing,,,,
pyrrole,-208.883115,-209.741587,-209.785257,,,-209.784665,,-209.787504,,,,,missing,,,,
silole,-443.922678,-444.707744,-444.747317,,,-444.747757,,-444.750395,,,,,missing,,,,
thiophene,-551.378560,-552.209779,-552.255858,,,-552.255470,,-552.258771,,,,,missing,,,,
beta-lactim,-245.870755,-246.813214,-246.855864,,,-246.855573,,-246.858143,,,,,missing,,,,
clf5,-956.398342,-957.944593,-958.006445,,,-958.006510,,-958.010612,,,,,missing,,,,
clf3,-757.657803,-758.659574,-758.698453,,,-758.698865,,-758.701506,,,,,missing,,,,
pf3,-639.297463,-640.195461,-640.223834,,,-640.224111,,-640.225324,,,,,-640.225291,,,,
hoclo2,-684.474484,-685.416628,-685.462276,,,-685.461958,,-685.465598,,,,,missing,,,,
h2no,-130.447462,-130.884904,-130.900718,-130.9007088,,-130.901007,-130.9009369,-130.901967,,,,,-130.901947,,,,
nh2oh,-131.040628,-131.515846,-131.532614,,,-131.532729,,-131.533657,,,,,-131.533657,,,,
cyclopropane,-117.100380,-117.639779,-117.661411,,,-117.661751,,-117.662704,,,,,missing,,,,
cyclopropene,-115.864432,-116.368330,-116.392324,,,-116.392365,,-116.393828,,,,,-116.393837,,,,
ch3ph2,-381.538522,-381.912618,-381.926480,,,-381.927443,,-381.928024,,,,,-381.928026,,,,
nh2f,-155.023633,-155.505743,-155.521592,,,-155.521806,,-155.522603,,,,,-155.522591,,,,
cclh3,-499.147474,-499.546701,-499.561669,,,-499.562328,,-499.562947,,,,,-499.562958,,,,
clno,-588.767053,-589.407764,-589.443486,,,-589.444209,,-589.447770,,,,,-589.447430,,,,
tetrahedrane,-153.651394,-154.307569,-154.340341,,,-154.339797,,-154.341831,,,,,missing,,,,
n-butane,-157.354429,-158.111495,-158.139411,,,-158.140191,,-158.141214,,,,,missing,,,,
c2cl2,-994.697143,-995.397756,-995.434020,,,-995.434225,,-995.436810,,,,,-995.436801,,,,
c2clh3,-537.000595,-537.544898,-537.569487,,,-537.570076,,-537.571426,,,,,-537.571428,,,,
c2clh5,-538.198546,-538.779194,-538.801679,,,-538.802441,,-538.803381,,,,,missing,,,,
c2clh,-535.773838,-536.284118,-536.310394,,,-536.310550,,-536.312430,,,,,-536.312413,,,,
ccl2h2,-958.077340,-958.665985,-958.690764,,,-958.691596,,-958.692783,,,,,-958.692805,,,,
ccl2o,-1031.800187,-1032.585484,-1032.623520,,,-1032.624038,,-1032.626354,,,,,missing,,,,
ccl3h,-1417.000263,-1417.781396,-1417.816736,,,-1417.817628,,-1417.819464,,,,,-1417.819507,,,,
